

                                    10044300 DINGLE INLET CANAL NEAR DINGLE,IDAHO             Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1986     153.     414.    1057.     805.     948.    1874.    2396.    2039.     209.     646.     942.     813.    12296.
         1987     444.    1043.    1335.    1242.    1317.    1734.    1348.     425.     492.     445.     791.     576.    11192.
         1988     850.     639.    1216.    1525.    1872.    1767.    1807.     443.     147.     517.     780.     407.    11970.
         1989     718.     818.    1216.    1230.    1075.    1609.    1888.     382.     398.     312.     920.     865.    11431.
         1990     544.     527.     805.     873.     883.     936.     945.      84.     118.     455.     613.     387.     7170.

         MEAN     542.     688.    1126.    1135.    1219.    1584.    1677.     675.     273.     475.     809.     610.    10812.

          PCT    5.01%    6.37%   10.41%   10.50%   11.27%   14.65%   15.51%    6.24%    2.52%    4.39%    7.48%    5.64%   100.00%

           SD     268.     248.     205.     296.     401.     374.     553.     777.     164.     121.     132.     223.     2082.

           CV     0.49     0.36     0.18     0.26     0.33     0.24     0.33     1.15     0.60     0.26     0.16     0.37      0.19

           FILE: .\10044300                                                                      
