

                                    10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1923   13800.   15600.   14800.   15000.   11900.   15600.   17300.   78100.  117000.   46500.   22100.   17700.   385400.
         1924   29600.   26500.   14800.   14370.   15910.   12520.    7350.   21080.    1730.    3240.    2100.    2820.   152020.
         1925    7430.    6720.    5650.    6760.    8280.    3320.   13300.    3380.    3810.    7870.    4730.    8630.    79880.
         1926   14800.   11200.    9650.    7380.    8390.   10500.   23600.   26100.    7020.    6150.    2090.    1900.   128780.
         1927    4980.    5300.    4370.    5110.    4600.    9790.     563.    6160.   31800.   21500.    4840.    6710.   105723.
         1928   13100.    5090.    4930.    6300.    3710.    1240.    1050.    3220.   24700.   12300.    3840.    4500.    83980.
         1929    6750.   10100.    6940.    8300.    6330.    2550.    1010.    1070.   24900.   20900.    8660.   10900.   108410.
         1930   14700.   13300.   13100.    9170.    5550.    7320.    1210.   23500.   21000.    8650.   13700.   12000.   143200.
         1931    8810.    9340.    8620.    8750.    7410.    4270.    3350.     702.     480.      67.     119.     137.    52055.
         1932     694.    2070.     415.     422.     835.     559.     391.     516.    3220.   19950.    6800.    7660.    43532.
         1933    3250.     532.     506.     553.     444.     492.     476.     676.   11100.    6330.    2640.    1550.    28549.
         1934    4180.    2020.    2030.    1110.     611.     430.     298.     123.     119.      61.      61.      60.    11103.
         1935     246.     238.     246.     290.     313.     357.     240.     301.     337.     411.     426.     432.     3837.
         1936    1560.     738.     605.     482.     434.     567.     801.     579.     399.     534.     631.    1760.     9090.
         1937   10170.    2100.    5540.    4210.    3410.     881.     716.     589.     575.    1020.    2070.    1700.    32981.
         1938    5340.    1240.    1290.     793.    2030.     849.     476.     547.     728.     799.     778.    5120.    19990.
         1939    2850.    2790.    2520.    1630.     520.     538.     476.     492.     476.    1760.     516.    2140.    16708.
         1940    7600.    2760.     528.     426.     391.     420.     319.     147.     147.     123.      71.     107.    13039.
         1941    4110.    5680.    4790.    3690.    1840.     311.     200.     619.     748.     603.     553.     484.    23628.
         1942     541.     615.     623.     962.    1500.     591.     365.     561.     764.     530.     498.     349.     7899.
         1943    4546.    6825.    1089.     912.     857.     768.     841.    1492.    1537.    1369.    9572.    8265.    38073.
         1944    8000.    3220.    1530.     970.     690.     770.     670.     820.    8830.   19160.    4710.    1750.    51120.
         1945     706.     623.     609.     659.     603.     655.     655.     815.    1232.    1650.    9154.    1587.    18948.
         1946    1327.     603.    2789.     522.     401.     569.     565.     972.    1154.    1365.    1337.    1256.    12860.
         1947     996.     881.     926.     764.     811.    1039.    1002.    1382.    1549.    2602.    2642.    1273.    15867.
         1948    1198.    1192.    2241.    1603.    1287.    1452.     871.     988.    1585.    1260.     986.     482.    15145.
         1949     635.     627.     738.     686.     603.     946.     833.    1430.    1244.     813.     966.     660.    10181.
         1950     690.     660.     630.     680.     640.     780.     710.    1050.   12760.    1450.    1170.    1170.    22390.
         1951    1444.    1386.    1442.    1394.    1353.    1462.    1377.    1652.    2043.    1345.    1202.    1055.    17155.
         1952    1008.    1059.    1033.     899.     819.     976.    1154.    1837.    1827.    1150.     932.     841.    13535.
         1953     922.     791.     948.    1035.     996.    1039.     899.    1224.     585.     766.     607.     569.    10381.
         1954     857.     857.     950.     984.     914.    1380.     678.     883.     557.     766.     754.     383.     9963.
         1955     653.     627.     343.     391.     391.     534.     787.    1008.     732.     849.    1513.     601.     8429.
         1956     980.    1018.    1129.    1398.    1180.    1525.    1224.    1460.    1775.    1114.     661.    1592.    15056.
         1957    3515.    1267.    1137.    1137.    1027.    1442.    1624.    1926.    1864.    1343.    1150.    1152.    18584.
         1958    1206.    1234.    1118.     526.     638.     811.     861.    1224.    1567.    1090.    1135.     721.    12131.
         1959     956.    1269.    1172.    1085.    1023.    1204.     514.     790.    1080.    1720.    1513.     893.    13219.
         1960     659.     477.     400.     563.     481.     671.     380.     572.     563.     944.    1230.     586.     7526.
         1961     344.     208.     283.     361.     423.     820.     353.     256.     128.     118.     192.     152.     3638.
         1962      47.      69.     117.     132.     141.     140.     245.     156.     583.     574.     484.     395.     3083.
         1963     301.     184.     144.     190.     235.     298.     173.     229.     368.     317.     502.     261.     3202.
         1964      86.      38.      41.      74.      97.     187.     362.     200.     301.     180.     194.     152.     1912.
         1965     171.     196.     250.     272.     269.     364.     349.     556.     379.     248.     294.     361.     3709.
         1966     467.     480.     419.     366.     329.     392.     457.     647.     381.     378.     401.     323.     5040.
         1967     369.     286.     236.     223.     300.     414.     360.     554.     493.     317.     382.     282.     4216.
         1968     421.     400.     236.     189.     207.     295.     143.     417.     547.     468.     456.     403.     4182.
         1969     417.     460.     366.     445.     332.     502.     563.     456.     407.     465.     290.     261.     4964.
         1970     272.     235.     256.     218.     252.     362.     342.     369.     391.     293.     227.     196.     3413.
         1971     280.     240.     160.     110.     190.     210.     200.    1770.   31140.    4220.     660.     730.    39910.
         1972     639.     460.     340.     323.     253.     556.     278.     732.    1020.     929.     795.     529.     6854.
         1973     531.     434.     231.     141.     126.     218.     314.     659.     887.     600.     447.     611.     5199.
         1974     537.     471.     388.     219.     227.     638.     509.     734.     829.     579.     354.     297.     5782.
         1975     608.     483.     361.     272.     232.     460.     362.     380.     554.     510.     415.     375.     5012.
         1976     407.     500.     506.     449.     310.     570.     752.     689.     795.     734.     595.     674.     6981.
         1977     444.     380.     337.     336.     328.     416.     204.     168.      62.       6.     135.     333.     3149.
         1978     404.     498.     549.     417.     379.     385.     403.     629.     807.     371.      32.      21.     4895.
         1979     375.     982.    1648.    1767.    2354.    1571.    1190.    1426.    2001.    1619.    3249.    2896.    21078.
         1980    2720.     739.     210.     284.     363.     235.     504.     813.    2904.    2555.    2122.    2154.    15603.
         1981    1121.     521.     499.     476.     367.     512.     452.     593.     701.     633.     548.     257.     6680.
         1982     916.     380.     388.     380.     360.     811.     498.     471.     594.     890.    3068.    1839.    10595.
         1983    2410.    1430.     280.     150.      90.     160.     200.     830.   42680.   39700.     950.    1390.    90270.
         1984     566.     463.     306.     215.     142.     196.     403.    1432.    1817.     661.     496.     423.     7120.
         1985     354.     351.     359.     468.     461.     767.     466.     492.     786.     794.     394.     465.     6157.
         1986     437.     280.     201.     201.     373.    1130.     686.     989.    7069.     920.     473.     408.    13167.
         1987     614.     339.     278.     248.     265.     510.     438.    1057.     704.     689.     716.     756.     6614.
         1988     778.     651.     478.     459.     400.     588.     398.     533.     702.    1113.     489.     193.     6782.
         1989     206.     290.     186.     231.     228.     526.     323.     346.     611.     805.     780.     762.     5294.
         1990     677.     501.     394.     398.     334.     516.     371.     302.     528.     474.     387.     286.     5168.

                                    10046500 BEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN


         MEAN    2981.    2375.    1950.    1793.    1610.    1557.    1492.    3072.    5805.    3856.    2044.    1907.    30442.

          PCT    9.79%    7.80%    6.41%    5.89%    5.29%    5.11%    4.90%   10.09%   19.07%   12.67%    6.71%    6.26%   100.00%

           SD    4963.    4397.    3332.    3159.    2899.    2906.    3815.   10398.   16125.    8500.    3560.    3207.    55853.

           CV     1.66     1.85     1.71     1.76     1.80     1.87     2.56     3.39     2.78     2.20     1.74     1.68      1.83

           FILE: .\10046500                                                                      
