

                                    10054600 ST CHARLES C AB DIV NR ST CHARL IDA              Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1962    1610.    1380.    1370.    1360.    1370.    1450.    5370.   10890.    7330.    3940.    2830.    2380.    41280.
         1963    2174.    1902.    1704.    1579.    1585.    1496.    2225.    8527.    6335.    3160.    2535.    2188.    35410.
         1964    2047.    1902.    1680.    1634.    1468.    1436.    1928.    7634.    9586.    4310.    2862.    2352.    38839.
         1965    2240.    2090.    2160.    1800.    1620.    1690.    3900.   11160.   17540.    7240.    4320.    3280.    59040.
         1966    2922.    2523.    2184.    1853.    1537.    1775.    3449.    7690.    3826.    2650.    2325.    2089.    34823.

         MEAN    2199.    1959.    1820.    1645.    1516.    1569.    3374.    9180.    8923.    4260.    2974.    2458.    41878.

          PCT    5.25%    4.68%    4.34%    3.93%    3.62%    3.75%    8.06%   21.92%   21.31%   10.17%    7.10%    5.87%   100.00%

           SD     473.     411.     348.     196.     100.     154.    1385.    1723.    5242.    1788.     784.     475.     9947.

           CV     0.22     0.21     0.19     0.12     0.07     0.10     0.41     0.19     0.59     0.42     0.26     0.19      0.24

           FILE: .\10054600                                                                      
