

                                     10055500 BEAR LAKE AT LIFTON NEAR ST. CHARLES              EOM Stor

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1920  882000.  861000.  841000.  880000.  812000.  828000.  849000. 1083000. 1184000. 1145000. 1090000. 1050000. 11505000.
         1921 1005000. 1019000. 1019000. 1012000. 1026000. 1130000. 1207000. 1361000. 1418000. 1411000. 1368000. 1347000. 14323000.
         1922 1332000. 1312000. 1304000. 1276000. 1277000. 1271000. 1308000. 1391000. 1420000. 1393000. 1361000. 1335000. 15980000.
         1923 1305000. 1290000. 1262000. 1238000. 1214000. 1200000. 1310000. 1416000. 1421000. 1396000. 1330000. 1286000. 15668000.
         1924 1298000. 1289000. 1243000. 1187000. 1172000. 1192000. 1315000. 1361000. 1316000. 1240000. 1134000. 1051000. 14798000.
         1925 1017000.  962400.  939100.  919300.  928200.  975400. 1029000. 1069000. 1078000. 1040000.  964500.  927500. 11849400.
         1926  888800.  858700.  839100.  816300.  818300.  868200.  901600.  893400.  830400.  762000.  683500.  592400.  9752700.
         1927  545600.  501300.  445600.  423900.  427100.  447500.  521100.  602200.  640800.  581800.  505100.  479500.  6121500.
         1928  466100.  476900.  482700.  489100.  502500.  573000.  628300.  747300.  799600.  744000.  655800.  580100.  7145400.
         1929  569700.  551500.  532600.  532600.  539800.  579400.  670300.  766700.  822300.  778800.  726000.  710600.  7780300.
         1930  692800.  676300.  677600.  682200.  700000.  742600.  809600.  827700.  798900.  718000.  683500.  646700.  8655900.
         1931  643400.  623100.  613200.  615200.  619800.  645400.  665700.  649300.  586600.  478200.  396600.  340100.  6876600.
         1932  326300.  312000.  322600.  337000.  352600.  380000.  450100.  518500.  602200.  602800.  542400.  508900.  5255400.
         1933  500600.  502500.  503200.  519800.  539800.  559300.  606800.  651200.  684200.  618500.  533300.  469900.  6689100.
         1934  453900.  443700.  451300.  460300.  475700.  489700.  487200.  425800.  353900.  279700.  200800.  134100.  4656100.
         1935  120300.  122700.  122700.  122700.  140100.  156900.  190500.  197200.  220500.  146700.   77100.   20650.  1638050.
         1936    4720.    1180.    3540.   20060.   49070.   71100.  158200.  337000.  414400.  383700.  362000.  328800.  2133770.
         1937  326300.  340100.  345700.  352600.  367600.  399800.  501900.  619200.  634900.  618500.  554100.  508300.  5569000.
         1938  401900.  509600.  521700.  529400.  541100.  587900.  671700.  791500.  835700.  824400.  774800.  750000.  7739700.
         1939  725300.  708600.  707300.  716600.  731900.  794200.  856000.  875000.  839100.  766100.  692100.  655200.  9067400.
         1940  638200.  630300.  633600.  641400.  655200.  678300.  684200.  643400.  577500.  488500.  403000.  381500.  7055100.
         1941  375800.  365700.  365100.  369500.  376400.  408000.  425200.  434700.  425200.  390300.  352600.  315100.  4603600.
         1942  313800.  313800.  321300.  321300.  340100.  370100.  463500.  507000.  494900.  418800.  351300.  308800.  4524700.
         1943  294500.  284600.  280300.  281500.  295200.  356300.  475700.  567100.  628300.  592400.  545000.  492900.  5093800.
         1944  480800.  480100.  474400.  483300.  502600.  533300.  627000.  692800.  756700.  698700.  610600.  564500.  6904800.
         1945  557400.  562600.  561900.  570400.  584600.  610000.  648000.  696700.  758000.  737200.  698700.  678300.  7663800.
         1946  676900.  700700.  715300.  737900.  755300.  822300.  970600. 1096000. 1103000. 1047000.  991300.  951500. 10567800.
         1947  944600.  937800.  953500.  928200.  957600. 1026000. 1077000. 1175000. 1252000. 1213000. 1148000. 1099000. 12711700.
         1948 1065000. 1040000. 1028000. 1029000. 1040000. 1065000. 1143000. 1257000. 1289000. 1225000. 1140000. 1077000. 13398000.
         1949 1035000. 1006000.  978900.  960400.  951500.  987800. 1035000. 1113000. 1145000. 1109000. 1026000.  967200. 12314800.
         1950  972700.  967200.  955500.  953500.  953500. 1020000. 1117000. 1295000. 1402000. 1371000. 1307000. 1222000. 13536400.
         1951 1180000. 1160000. 1124000. 1077000. 1060000. 1043000. 1148000. 1295000. 1328000. 1268000. 1195000. 1104000. 13982000.
         1952 1078000. 1058000. 1026000.  989000.  968000.  954000. 1033000. 1251000. 1291000. 1257000. 1187000. 1117000. 13209000.
         1953 1063000. 1035000. 1010000. 1007000. 1004000. 1015000. 1030000. 1028000. 1054000.  989900.  913900.  866200. 12016000.
         1954  856000.  858700.  861400.  868900.  892000.  925500.  959000.  942500.  900900.  827700.  747300.  702000. 10341900.
         1955  690100.  691500.  694800.  704700.  728600.  753300.  790800.  801600.  804900.  716600.  675600.  619200.  8671700.
         1956  617200.  608000.  627000.  675600.  690800.  724000.  822300.  935000.  998200.  926200.  849200.  805600.  9279100.
         1957  798200.  800200.  804900.  828400.  850500.  894700.  946000. 1054000. 1158000. 1135000. 1054000. 1004000. 11327900.
