

                                    10058600 BLOOMINGTON C AT BLOOMINGTON, IDA                Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1961    1077.     966.     893.     815.     728.     815.     934.    1817.    1148.     912.     902.     849.    11856.
         1962     801.     774.     764.     738.     791.     764.    2650.    5403.    3612.    2243.    1654.    1321.    21515.
         1963    1212.    1057.     986.     885.    1111.     944.    1142.    3701.    3027.    1573.    1256.    1162.    18056.
         1964    1119.    1045.     938.     877.     799.     857.    1184.    3447.    4419.    2178.    1498.    1186.    19547.
         1965    1129.    1031.    1260.     972.     897.     873.    2033.    4861.    8380.    4140.    2243.    1682.    29501.
         1966    1430.    1379.    1263.    1111.     877.    1041.    1551.    3108.    1682.    1297.    1158.    1049.    16946.
         1967    1035.     936.     956.     914.     781.     893.    1083.    2987.    5238.    2491.    1624.    1263.    20201.
         1968    1158.    1033.     972.     930.     851.     906.     978.    2340.    3148.    1531.    1277.    1083.    16207.
         1969    1115.    1016.     984.     954.     785.     877.    1529.    4110.    2440.    1785.    1438.    1258.    18291.
         1970    1198.    1033.     976.     970.     835.     899.    1083.    3368.    5117.    2255.    1575.    1382.    20691.
         1971    1315.    1198.    1095.    1089.    1000.    1184.    2382.    5679.    9947.    4975.    2731.    1987.    34582.
         1972    1694.    1377.    1275.    1184.    1010.    1638.    2180.    5570.    7589.    3610.    2287.    1793.    31207.
         1973    1527.    1299.    1240.    1208.     930.     996.    1315.    3689.    2604.    1755.    1355.    1196.    19114.
         1974    1111.    1057.     988.     887.     732.    1031.    1632.    4955.    5952.    2809.    1821.    1388.    24363.
         1975    1321.    1144.    1079.     988.     877.    1002.    1081.    2321.    6532.    4104.    2104.    1539.    24092.
         1976    1365.    1208.    1174.    1071.     984.    1008.    1573.    4723.    3896.    2287.    1720.    1379.    22388.
         1977    1317.    1123.    1016.     908.     776.     859.     990.    1121.     899.     833.     827.     791.    11460.
         1978     805.     772.     799.     799.     722.    1012.    1855.    3201.    5740.    3025.    1829.    1543.    22102.
         1979    1420.    1240.    1160.    1045.     940.    1057.    1382.    3765.    2807.    1740.    1396.    1210.    19162.
         1980    1218.    1059.    1045.    1065.     871.     950.    1956.    4742.    5217.    2941.    2017.    1624.    24705.
         1981    1448.    1200.    1152.    1043.     891.    1004.    1081.    1976.    1630.    1212.    1101.    1014.    14752.
         1982    1033.     950.    1000.     841.     774.    1077.    1781.    5115.    6752.    4060.    2325.    1829.    27537.
         1983    1638.    1369.    1295.    1194.    1004.    1224.    1553.    3394.    7607.    4193.    2563.    1936.    28970.
         1984    1700.    1452.    1367.    1250.    1081.    1140.    1712.    5449.    8575.    4842.    2721.    2033.    33322.
         1985    1678.    1458.    1335.    1273.    1099.    1164.    2392.    4774.    2936.    2049.    1569.    1329.    23056.
         1986    1349.    1186.    1123.    1107.    1303.    2192.    3437.    5758.    9892.    4653.    2731.    2005.    36736.

         MEAN    1277.    1129.    1082.    1005.     902.    1054.    1633.    3899.    4876.    2673.    1759.    1417.    22706.

          PCT    5.63%    4.97%    4.77%    4.42%    3.97%    4.64%    7.19%   17.17%   21.48%   11.77%    7.74%    6.24%   100.00%

           SD     248.     186.     162.     146.     141.     289.     608.    1315.    2675.    1267.     564.     357.     6669.

           CV     0.19     0.16     0.15     0.15     0.16     0.27     0.37     0.34     0.55     0.47     0.32     0.25      0.29

           FILE: .\10058600                                                                      
