

                                    10059500 BEAR LAKE OUTLET CANAL NEAR PARIS IDAHO          Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1922                              37620.   31750.   31590.   24120.   13150.    1490.   20690.   30320.   15600.
         1923   22850.   20060.   37590.   39110.   39100.   34630.    3210.    1540.   35700.   38890.   55800.   45360.   373840.
         1924    4810.   10020.   57380.   61260.   29870.   15570.    3660.   23520.   63090.   72030.   88540.   61590.   491340.
         1925   41490.   29170.   36900.   33130.   13330.    3820.    2520.   27780.   32530.   53720.   55720.   34850.   364960.
         1926   17460.   23020.   16940.   29500.   13480.    4500.     750.   24370.   52950.   52030.   66910.   61690.   363600.
         1927   39180.   35680.   39660.   40880.   18330.   12920.     370.     370.     360.   42490.   50790.   28740.   309770.
         1928    7790.    3030.    1840.    1480.    1380.    1480.    1430.    1480.    4880.   44320.   61030.   46410.   176550.
         1929   19590.   14740.   26040.   14140.   10540.    2780.    1190.    1230.    1190.   32640.   40700.   13640.   178420.
         1930    6920.    1800.    1840.    4680.    3370.    2770.     300.    5360.   26310.   61040.   38560.   22870.   175820.
         1931    5070.    8560.    7640.    7160.    5810.     400.     260.   23130.   44270.   72040.   56860.   31420.   262620.
         1932    5590.     890.     760.     800.     750.     800.     770.     800.     770.   12510.   45610.   11090.    81140.
         1933    1410.     120.     120.     120.     110.     120.     120.     120.    2960.   46350.   52320.   40540.   144410.
         1934    2590.     640.     640.     660.     310.     180.    3000.   55870.   45560.   49400.   52070.   26400.   237320.
         1935    1120.    1320.    2770.    1080.     280.     350.     360.    1540.   19040.   57800.   42860.   22030.   150550.
         1936    1410.     600.     450.     180.     170.     180.     180.     180.   11950.   36740.   26860.   16430.    95330.
         1937     900.     710.     740.    2440.     720.     430.     120.      60.   14700.   33620.   39170.   20420.   114030.
         1938     790.     710.     720.     260.     170.     180.     180.     180.   14240.   22910.   29170.   17220.    86730.
         1939   20400.   14590.   10280.    6110.    1220.     610.     600.   28460.   24030.   54240.   51280.   19690.   231510.
         1940    1310.     360.     620.     620.     350.     370.     360.   34820.   45980.   63910.   51260.   12440.   212400.
         1941    1540.     240.     250.     250.     220.     250.     240.    2570.   26310.   54070.   29760.   17410.   133110.
         1942    8860.    7540.     880.   11300.    1110.    1230.     420.     430.   31510.   50550.   51500.   24830.   190160.
         1943    6330.    2900.    6100.    5570.    2960.     610.     600.   10550.   10070.   43190.   33310.   28550.   150740.
         1944    2980.    1780.    9990.    1950.     230.     250.     240.    1560.    1540.   38760.   54130.   21480.   134890.
         1945     690.     450.    2340.    1610.    1070.     470.     360.     200.    2670.   39720.   27940.   13010.    90530.
         1946    2310.     710.     680.     630.     520.     520.     430.    3430.   24060.   47360.   52580.   26320.   159550.
         1947    9270.   15830.   13770.   33130.    2360.     860.     630.    6400.   16740.   67380.   73080.   49730.   289180.
         1948   27210.   29230.   24020.   16750.    8910.    3880.     640.    3690.   34560.   67090.   62840.   46830.   325650.
         1949   29990.   28680.   36310.   44710.   28280.    1340.     470.     500.   24750.   57340.   57430.   33800.   343600.
         1950   15500.   19870.   19750.   33820.   26070.    1480.     610.     610.   56280.   86820.   98100.   81590.   440500.
         1951   61950.   46940.   60790.   68380.   52550.   54100.    4930.    1660.   61580.   91660.   91000.   73010.   668550.
         1952   37930.   38640.   55280.   60380.   54770.   48530.   10840.   10140.   54610.   64480.   77060.   59620.   572280.
         1953   37920.   27230.   40460.   28580.   30380.   20780.   17680.   32100.   27010.   71680.   49750.   29520.   413090.
         1954     760.     140.     120.      70.      60.      60.      60.   32540.   35840.   65770.   53340.   26120.   214880.
         1955    3730.     710.     150.     120.     110.     120.     120.    9990.   14780.   70520.   34440.   34070.   168860.
         1956    3340.    6590.     840.     760.     810.     860.    3190.    4570.   18740.   62860.   51790.   20880.   175230.
