

                                    10068500 BEAR RIVER AT PESCADERO, IDAHO                   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1924   42990.   46270.   83880.            55130.   33180.   37380.   58100.   71390.   77370.   90960.   66390.
         1925   51380.   39070.   47280.   45020.   28740.   19130.   23520.   43170.   48060.   64540.   61170.   48090.   519170.
         1926   36560.   39200.   31200.   42300.   26190.   24430.   32500.   55520.   64740.   60540.   69020.   64460.   546660.
         1927   47320.   44330.   47720.   50400.   30490.   30170.   20260.   24150.   46530.   71790.   62420.   41620.   517200.
         1928   24980.   14620.   12010.   12880.    9820.   16710.   14630.   25460.   41830.   60910.   66740.   53040.   353630.
         1929   31950.   31170.   36290.   26900.   20670.   16200.   24340.   24710.   37780.   57820.   51440.   29210.   388480.
         1930   26210.   19300.   18010.   15810.   12870.   18510.   12260.   36940.   53760.   70910.   54740.   38320.   377640.
         1931   19290.   20430.   18130.   17760.   15600.    8800.    7110.   26710.   44790.   69330.   56950.   32990.   337890.
         1932    8440.    5950.    3790.    2980.    4020.    5370.   21260.   21050.   20230.   36310.   55480.   20540.   205420.
         1933    8360.    4770.    4020.    3690.    3330.    5320.   14720.   15900.   22900.   55890.   54470.   43700.   237070.
         1934    9920.    6470.    8010.    5450.    5280.    5960.    5760.   54950.   45540.   48680.   52090.   28050.   276160.
         1935    2690.    3450.    5280.    3250.    2370.    3830.    9240.   12260.   28030.   59300.   43230.   23060.   195990.
         1936    4310.    4570.    3570.    2240.    1720.    1560.   30220.   33960.   28170.   43610.   31440.   21690.   207060.
         1937   13560.    6840.    9270.   10010.    7530.    5370.   20900.   17840.   26940.   41300.   42260.   25170.   226990.
         1938    9220.    6200.    7540.    4950.    6040.    9140.   25350.   26390.   27560.   31710.   32390.   23660.   210150.
         1939   26310.   21160.   17800.   11310.    4690.   13920.   11300.   34000.   32990.   58710.   52830.   24830.   309850.
         1940   11590.    6220.    3890.    4500.    4020.    7580.    5580.   36620.   47290.   63920.   51600.   14760.   257570.
         1941    7760.    8440.    7380.    5840.    3730.    6790.    9850.   17390.   39350.   60360.   32720.   20620.   220230.
         1942   13110.   11290.    6070.   15470.    5920.    5640.   15850.   14590.   40630.   54000.   52710.   28400.   263680.
