

                                    10072800 EIGHTMILE CREEK NEAR SODA SPRINGS, IDAHO         Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1961     169.     171.     143.      88.      74.     153.     593.    1946.    1375.     385.     214.     169.     5480.
         1962     160.     154.     143.     143.     541.     229.    2080.    3820.    2846.     958.     468.     262.    11804.
         1963     228.     209.     183.     129.     253.     273.     707.    3051.    2360.     803.     404.     301.     8901.
         1964     282.     297.     214.     207.     184.     173.     481.    3320.    4768.    1676.     714.     434.    12750.
         1965     347.     280.     281.     274.     242.     248.    1056.    4290.    6530.    2711.     801.     530.    17590.
         1966     431.     390.     329.     255.     175.     254.     819.    3112.    1494.     562.     358.     237.     8416.
         1967     236.     229.     176.     141.     137.     191.     460.    2930.    4820.    1593.     639.     411.    11963.
         1968     319.     272.     233.     190.     177.     191.     477.    2154.    3334.     943.     488.     299.     9077.
         1969     261.     210.     154.     188.     117.     107.    1461.    4949.    2402.    1029.     453.     285.    11616.
         1970     257.     196.     146.     156.     116.     110.     273.    3053.    4391.    1238.     541.     352.    10829.
         1971     306.     277.     233.     231.     196.     268.    1358.    5395.    7771.    2892.     926.     558.    20411.
         1972     473.     353.     302.     256.     206.     724.    1559.    5935.    6365.    1579.     700.     499.    18951.
         1973     379.     299.     285.     260.     206.     183.     647.    4106.    3180.     914.     406.     341.    11206.
         1974     271.     260.     200.     167.     131.     332.    1175.    4967.    5764.    1561.     640.     429.    15897.
         1975     358.     296.     227.     211.     174.     155.     250.    2087.    6248.    3086.     841.     417.    14350.
         1976     358.     287.     272.     259.     240.     245.     860.    4808.    4126.    1293.     638.     427.    13813.
         1977     336.     256.     204.     166.     126.     122.     296.     609.     601.     208.     102.      85.     3111.
         1978      85.      69.      90.      83.      85.     403.    1825.    3580.    5369.    2309.     838.     439.    15175.
         1979     293.     237.     183.     179.     160.     190.     486.    2241.    2237.     792.     428.     268.     7694.
         1980     276.     221.     210.     209.     180.     177.    1100.    4124.    3864.    1591.     695.     416.    13063.
         1981     333.     280.     276.     253.     217.     330.     661.    1900.    2348.     588.     266.     176.     7628.
         1982     156.     137.     164.     105.     127.     297.     907.    5032.    6117.    2364.     863.     558.    16827.
         1983     543.     398.     273.     216.     177.     346.     681.    3443.    7494.    2503.    1006.     603.    17683.
         1984     514.     505.     394.     365.     388.     287.    1060.    6317.    7664.    2275.    1069.     662.    21500.
         1985     538.     439.     384.     345.     244.     298.    2185.    5088.    2102.     780.     388.     386.    13177.
         1986     400.     330.     250.     280.     600.    1690.    4230.    7820.   10900.    2200.    1070.     620.    30390.

         MEAN     320.     271.     229.     206.     211.     307.    1065.    3849.    4480.    1494.     614.     391.    13435.

          PCT    2.38%    2.02%    1.70%    1.53%    1.57%    2.28%    7.93%   28.65%   33.34%   11.12%    4.57%    2.91%   100.00%

           SD     117.      95.      75.      72.     124.     308.     839.    1611.    2460.     822.     264.     147.     5693.

           CV     0.37     0.35     0.33     0.35     0.59     1.00     0.79     0.42     0.55     0.55     0.43     0.38      0.42

           FILE: .\10072800                                                                      
