

                                    10075000 BEAR RIVER AT SODA SPRINGS IDAHO                 Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1954    9030.    9680.    9440.    8870.    9000.   15920.   19660.   43010.   46210.   70210.   53950.   31250.   326230.
         1955   10260.    8470.    7580.    7240.    6610.    6840.   23330.   25830.   34260.   75760.   40080.   38470.   284730.
         1956   11440.   14420.   16650.   15830.   11140.   21380.   41040.   45640.   42370.   68680.   55570.   27030.   371190.
         1957   14530.   10810.   12690.    8410.   10680.   18460.   32430.   47750.   47780.   78280.   80380.   43710.   405910.
         1958   29140.   26340.   16300.   23110.   19200.   14470.   39510.   40140.   45110.   72430.   62240.   38420.   426410.
         1959   20060.   12750.   13500.    9310.    8260.   14630.   22750.   24750.   37030.   65740.   47240.   28290.   304310.
         1960   10200.    8020.    7060.    6850.    6580.   15140.   26580.   33950.   71370.   84200.   64260.   17590.   351800.
         1961   10370.    7830.    6460.    5580.    7830.   14430.    9560.   51360.   65680.   81620.   52310.   21580.   334610.
         1962    5580.    6420.    5770.    7440.   21880.   10710.   51030.   36600.   33780.   73160.   47670.   20950.   320990.
         1963    7890.    8560.    8740.    7110.   26370.   11540.   19300.   28340.   33460.   82120.   67930.   26660.   328020.
         1964    6870.    9930.    6390.    5930.    5880.    5380.   33050.   31320.   46890.   68820.   54100.   27860.   302420.
         1965    8020.    9430.   19610.   14580.   14280.   12970.   39710.   43730.   44060.   46400.   82080.   66430.   401300.
         1966   65810.   65920.   73770.   74540.   69980.   52440.   37420.   28040.   69810.   79080.   63740.   19520.   700070.
         1967    6640.    7540.   11760.    7430.    6010.   11870.   27940.   27090.   44770.   73670.   95350.   66400.   386470.
         1968   54410.   56060.   51260.   34910.    8860.   21070.   20550.   19870.   32660.   70230.   34000.   11650.   415530.
         1969   23430.   51850.   49540.   49410.   35650.   59360.   42570.   32960.   31850.   61020.   49330.   16960.   503930.
         1970    9500.   28280.   32520.   29890.   12180.   15210.   16130.   26490.   34360.   60790.   55730.   15070.   336150.
         1971   10200.   16400.   40100.   55900.   52900.   66300.   62200.   88600.  177600.  114700.   94200.   66600.   845700.
         1972   76000.   69600.   68700.   65500.   66000.   65800.   72500.  104000.  108600.  103800.   91300.   67000.   958800.
         1973   49070.   65430.   64390.   66750.   61960.   69920.   48360.   46240.   39130.   78990.   51200.   41850.   683290.
         1974   43060.   31310.   51090.   52700.   51050.   62500.   32430.   54970.   83860.   87530.   81380.   62510.   694390.
         1975   13670.   15420.   40390.   46260.   17170.   19750.   31700.   48520.   56430.   79240.   85670.   72250.   526470.
         1976   91870.   74840.   50510.   59580.   50900.   59760.   57890.   51850.   38580.   74630.   47280.   48670.   706360.
         1977   31440.   48810.   49870.   49780.    9600.    8930.   13840.   53190.   62500.   84980.   45810.    6020.   464770.
         1978    5530.    6840.    8630.    9010.    8830.   21950.   39560.   45140.   44210.   57160.   45580.   13500.   305940.
         1979   10580.    8240.    8480.    7790.    6680.   11870.   32860.   32530.   40420.   82090.   36540.   19590.   297670.
         1980   13460.    6460.    6460.    6960.   22210.    7820.   42170.   60290.   96180.   88700.   87610.   79870.   518190.
         1981   76030.   60130.   60960.   37440.   12230.   12820.   11860.   25460.   34930.   79120.   57170.   26690.   494840.
         1982    8020.    9050.    9550.    8880.    9690.   19090.   38210.   54090.   46580.   44780.   82930.   77280.   408150.
         1983   78700.   85700.   87900.  146200.   85400.   81100.   74600.   56900.  178200.  199800.  131800.  107200.  1313500.
         1984  134400.  136600.  109100.   81300.   76800.   80500.  106800.  128300.  179800.  123500.  114500.  109100.  1380700.
         1985  123500.  126100.   88400.   71800.   81100.  103600.  105900.   38200.   43300.   79600.   63400.   52200.   977100.
         1986   41200.   41800.   55100.   56800.   81300.  128400.  152900.  169600.  229100.  147800.  118800.  107700.  1330500.
         1987  113800.  117600.   92600.   54900.   46300.   30500.   19000.   42900.   49300.   52500.   41200.   21700.   682300.
         1988    9730.   11690.    9160.    8210.    7700.   12780.   20630.   23400.   69000.   86460.   57700.   35390.   351850.
         1989     112.     135.     130.     108.     138.     474.     351.     406.    1160.     999.     580.     124.     4717.
         1990    7130.    6730.    7520.    7720.    7890.   16820.   12550.   39340.   57210.   79250.   60900.   21080.   324140.

         MEAN   33532.   34627.   34002.   32703.   28006.   32500.   39969.   47319.   64798.   79942.   64906.   42004.   534309.

          PCT    6.28%    6.48%    6.36%    6.12%    5.24%    6.08%    7.48%    8.86%   12.13%   14.96%   12.15%    7.86%   100.00%

           SD   36817.   36726.   30526.   31663.   26774.   31109.   30437.   31023.   49160.   30868.   25969.   29046.   314831.

           CV     1.10     1.06     0.90     0.97     0.96     0.96     0.76     0.66     0.76     0.39     0.40     0.69      0.59

           FILE: .\10075000                                                                      
