

                                    10076400  SODA C AT FIVEMILE MEADOWS NR SODA SPRINGS, IDA Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1965     984.     865.    1039.    1188.    1021.    1016.    2418.    1908.    1753.    1416.    1071.    1200.    15879.
         1966    1107.    1020.     870.     738.     770.    1289.    1194.     875.     598.     513.     321.     294.     9589.
         1967     332.     301.     247.     138.      80.     203.     791.     483.     487.     449.     309.     296.     4116.
         1968     368.     348.     348.     331.     332.     751.     651.     657.     700.     594.     617.     622.     6319.
         1969     649.     637.     568.     766.     484.     781.    2061.    1476.    1263.    1232.     881.     732.    11530.
         1970     795.     643.     505.     539.     458.     687.    1424.    1160.    1000.     988.     764.     706.     9669.
         1971     720.     653.     611.     499.     410.     574.    2073.    1876.    2019.    1783.    1523.    1579.    14320.
         1972    1668.    1537.    1527.    1327.    1045.    2166.    1785.    2089.    2114.    1981.    1906.    1835.    20980.
         1973    1706.    1517.    1432.    1281.     954.    1014.    2009.    1642.    1468.    1496.    1503.    1565.    17587.
         1974    1335.    1319.    1170.     952.     902.    1656.    1587.    1803.    1747.    1561.    1285.    1121.    16438.
         1975    1089.    1063.    1008.     891.     783.    1071.    2216.    2097.    1991.    1870.    1579.    1373.    17031.
         1976    1351.    1055.    1068.     887.     645.    1373.    3229.    2325.    2166.    1720.    1377.    1273.    18469.
         1977    1256.    1059.     954.     922.     817.     764.     714.     889.     354.     166.     130.     214.     8239.
         1978     271.     222.     121.      62.      50.     509.    1261.     883.     692.     565.     419.     455.     5510.
         1979     451.     378.     299.     355.     334.     553.    1208.     795.     657.     536.     365.     213.     6144.
         1980     231.     205.      91.      31.      44.      88.    1205.    1581.    1303.    1006.     893.     956.     7634.
         1981     853.     636.     505.     453.     390.     646.     764.     776.     447.     192.     168.     160.     5990.
         1982     167.     121.     134.     103.     108.     185.     982.    1190.    1248.    1400.    1325.    1232.     8195.
         1983    1303.    1166.     976.    1008.     952.    1964.    2311.    2077.    1896.    1708.    1579.    1521.    18461.
         1984    1585.    1696.    1515.    1450.    1323.    1452.    3031.    2703.    2856.    2787.    2684.    2410.    25492.
         1985    2618.    2380.    1444.    1202.    1103.    1168.    3029.    2886.    2346.    2043.    1811.    1628.    23658.
         1986    1260.     889.     657.     686.     924.    2100.    2085.    2346.    1993.    1981.    1966.    2065.    18952.

         MEAN    1005.     896.     777.     719.     633.    1000.    1729.    1569.    1414.    1272.    1113.    1066.    13191.

          PCT    7.62%    6.79%    5.89%    5.45%    4.80%    7.58%   13.10%   11.89%   10.72%    9.64%    8.43%    8.08%   100.00%

           SD     602.     565.     471.     435.     382.     599.     782.     698.     721.     703.     685.     651.     6407.

           CV     0.60     0.63     0.61     0.61     0.60     0.60     0.45     0.45     0.51     0.55     0.62     0.61      0.49

           FILE: .\10076400                                                                      
