

                                    10079500 BEAR RIVER AT ALEXANDER IDAHO                    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1927   56000.   52800.   56000.   58900.   42800.   45400.   39800.   45000.   56600.   75000.   66400.   51400.   646100.
         1928   30500.   25600.   23800.   21900.   21100.   31400.   42400.   31900.   48900.   70700.   64600.   62500.   475300.
         1929   37700.   40600.   40200.   36900.   29100.   24800.   53700.   38400.   50400.   60400.   57500.   34700.   504400.
         1930   37900.   27000.   27800.   22000.   23200.   28400.   27100.   45600.   52200.   68200.   52000.   41600.   453000.
         1931   27400.   24500.   25500.   24500.   21900.   21000.   19900.   28400.   44700.   69500.   54400.   32800.   394500.
         1932   11600.   11400.    9800.   10900.   11700.   12600.   39400.   35300.   30200.   40600.   49500.   24300.   287300.
         1933   15100.   10400.   11300.    9600.   11100.   11500.   28600.   23700.   31200.   60800.   62100.   48300.   323700.
         1934   14700.   12500.   14100.   12800.   13000.   15200.   14800.   54100.   47300.   53200.   56200.   32900.   340800.
         1935    7500.   11300.   12000.    8900.   10600.   13100.   23200.   22500.   33900.   62000.   43800.   24900.   273700.
         1936    9200.   10400.    9800.    9000.   12000.   13500.   50700.   57400.   36100.   46000.   33000.   24200.   311300.
         1937   18700.   15900.   17100.   18300.   14900.   21400.   25400.   32300.   33800.   43500.   42900.   26800.   311000.
         1938   15400.   12700.   15900.   11700.   16300.   26000.   40000.   47700.   35800.   35500.   37900.   33800.   328700.
         1939   29200.   30300.   26700.   19000.   15400.   28100.   23600.   43900.   34700.   57100.   51600.   29000.   388600.
         1940   14000.   12000.   13400.   11400.   13800.   26200.   11700.   35900.   48800.   62800.   49500.   19300.   318800.
         1941   12700.   16300.   14600.   13300.   11600.   23300.   21900.   24200.   43700.   61000.   35000.   22200.   299800.
         1942   17600.   17000.   15600.   22500.   15000.   16900.   32700.   26000.   41300.   55700.   54000.   34000.   348300.
         1943   17550.   20370.   18910.   16860.   18060.   17170.   59110.   48840.   49520.   56950.   49410.   42440.   415190.
         1944   20580.   18450.   24770.   14010.   14640.   18170.   30110.   28770.   35580.   63420.   59820.   28780.   357100.
         1945   10400.   12590.   13110.   11710.   13810.   21070.   30580.   26950.   43750.   53660.   47110.   27890.   312630.
         1946   17280.   17990.   19110.   15370.   16210.   26910.   60690.   48360.   46260.   58820.   60970.   40530.   428500.
         1947   27670.   36280.   36510.   44100.   18800.   33360.   27480.   45700.   48690.   79430.   82390.   62460.   542870.
         1948   43830.   44870.   42540.   30380.   22730.   24500.   42720.   45730.   57730.   75430.   70580.   55010.   556050.
         1949   48430.   40830.   50600.   57450.   44910.   29700.   37500.   29010.   49140.   64390.   64380.   45840.   562180.
         1950   36800.   31700.   34000.   47300.   42800.   34300.   69500.   66200.  117600.  116400.  109300.   94500.   800400.
         1951   85900.   69500.   84500.   84600.   71400.   82300.   68100.   57600.   85400.  100600.   97000.   85200.   972100.
