

                                    10080000 BEAR RIVER BELOW GRACE DAM,NEAR GRACE,ID         Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1986     800.     700.    2500.     800.    8100.   73400.   76100.  106600.  173400.   71800.   50600.   59900.   624700.
         1987   62630.   67730.   38940.   12250.    3790.     390.     320.    2150.     730.    1320.    1150.     500.   191900.
         1988     258.     158.     155.     156.     146.     220.     531.    1338.    7063.    9642.     762.     781.    21210.
         1989     438.     189.     378.     477.     512.     322.     233.     824.    2184.    4138.     951.     314.    10960.
         1990     210.     306.     303.     254.     156.     158.      98.     450.    1023.    8507.    1055.     397.    12917.

         MEAN   12867.   13817.    8455.    2787.    2541.   14898.   15456.   22272.   36880.   19081.   10904.   12378.   172337.

          PCT    7.47%    8.02%    4.91%    1.62%    1.47%    8.64%    8.97%   12.92%   21.40%   11.07%    6.33%    7.18%   100.00%

           SD   27819.   30139.   17069.    5296.    3464.   32704.   33901.   47145.   76360.   29660.   22191.   26566.   264250.

           CV     2.16     2.18     2.02     1.90     1.36     2.20     2.19     2.12     2.07     1.55     2.04     2.15      1.53

           FILE: .\10080000                                                                      
