

                                    10084500 COTTONWOOD CREEK NEAR CLEVELAND, IDAHO           Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1939                       714.     633.     500.    3856.    8095.    2001.     557.     254.      97.     137.
         1940     422.     426.     341.     503.     556.    2153.    4151.    1136.     381.     120.      44.     167.    10400.
         1941     395.     375.     356.     451.     491.    1423.    7020.    5685.     656.     370.     489.     327.    18038.
         1942     549.     478.     694.     543.     553.    1075.    8938.    4397.     816.     418.     219.     247.    18927.
         1943     220.     590.     570.     710.     680.    2670.   17100.    4910.    1930.     740.     540.     250.    30910.
         1944     445.     690.     641.     604.     549.     649.    3979.    3014.    1932.     503.     158.     134.    13298.
         1945     300.     470.     520.     560.     620.    1030.    6460.   10870.    7450.     930.     950.     830.    30990.
         1946     750.     860.     780.    1050.     830.    2500.   16800.    7080.    1320.     630.     580.     370.    33550.
         1947     713.     829.     970.     732.     910.    3178.    5230.    4554.    1229.     372.     332.     249.    19298.
         1948     277.     547.     584.     497.     429.     667.    8505.    9556.    1391.     382.     334.     368.    23537.
         1949     524.     624.     644.     575.     380.    1346.    9598.    5306.    1214.     452.     344.     238.    21245.
         1950     700.     800.     630.     880.     790.    1880.   13100.   13740.    3720.     980.     610.     510.    38340.
         1951     700.     940.     770.     550.     790.    1360.   10660.    5960.     830.     400.     510.     230.    23700.
         1952     540.     580.     670.     640.     630.     770.   13290.   12460.    1720.     510.     370.     370.    32550.
         1953     310.     495.     641.     772.     623.    1755.    3955.    2945.    2001.     341.     148.      91.    14077.
         1954     264.     424.     530.     612.     576.    1158.    3927.    1158.     469.     171.     148.     158.     9595.
         1955     260.     371.     332.     376.     353.     473.    2356.    4207.    2017.     326.     314.     182.    11567.
         1956     185.     363.    1090.    1069.     817.    2842.    9100.    4266.     637.     297.     295.     127.    21088.
         1957     390.     450.     510.     530.     650.    1200.    4680.   13150.    2570.     520.     420.     310.    25380.
         1958     399.     481.     800.     683.     773.    1331.    8366.    9540.     712.     424.     245.     225.    23979.
         1959     265.     416.     676.     633.     592.    1198.    5552.    2116.     494.     250.     123.     337.    12652.
         1960     518.     427.     401.     506.     535.    1620.    6553.    2134.     442.     161.      87.     123.    13507.
         1961     212.     537.     492.     450.     450.    1043.    2416.     912.     312.      55.      24.     146.     7049.
         1962     310.     480.     490.     530.    1820.    1340.   11100.    3580.     820.     530.     300.     150.    21450.
         1963     281.     431.     396.     468.    1847.    1635.    3168.    5722.    1323.     400.     304.     246.    16221.
         1964     320.     490.     480.     570.     510.     600.    6440.   11080.    4120.     850.     350.     360.    26170.
         1965     540.     580.    1160.     980.    1350.    1460.   12740.   11010.    3100.    1130.     620.     720.    35390.
         1966     725.     666.     813.     809.     667.    1567.    5139.    2815.     491.     270.     220.     183.    14365.
         1967     210.     290.     480.     720.     610.    1350.    5050.   10840.    3100.     960.     430.     270.    24310.
         1968     517.     619.     686.     716.     829.    1783.    4844.    5671.    2118.     585.     467.     343.    19178.
         1969     430.     640.     730.    1420.    1000.    1420.   13170.    6700.    1090.     600.     320.     260.    27780.
         1970     507.     493.     655.     823.     754.     956.    2751.    8277.    1847.     487.     267.     265.    18082.
         1971     300.     680.     640.    1000.     980.    2040.   12690.   14190.    4640.    1030.     790.     600.    39580.
         1972    1020.     920.     850.    1190.    1000.    7470.   12030.   11350.    2350.     750.     680.     640.    40250.
         1973     918.     864.     870.     938.     787.    1055.    6819.    8136.    1350.     690.     489.     694.    23610.
         1974     636.     715.     720.     839.     883.    3150.    9572.    8739.    1767.     585.     525.     369.    28500.
         1975     570.     710.     480.     680.     610.    1040.    2560.   15590.    7260.    1250.     920.     570.    32240.
         1976     870.     820.     790.     740.     690.    1000.    8100.   12090.    2310.     820.     470.     490.    29190.
         1977     733.     684.     555.     494.     319.     642.     916.     646.     353.     184.     105.     120.     5751.
         1978     170.     320.     650.     630.     790.    4810.   12840.    8970.    2160.     490.     420.     460.    32710.
         1979     482.     448.     622.     648.     638.    1208.    6165.    5405.     551.     284.     232.     165.    16848.
         1980     238.     401.     424.     640.     764.    1027.    9158.    9158.    4788.     959.     569.     580.    28706.
         1981     591.     559.     640.     631.     599.    1049.    2624.    3632.    1537.     408.     188.     153.    12611.
         1982     240.     300.     580.     700.     960.    2020.   10600.   14890.    4910.    1160.     750.    1080.    38190.
         1983    1360.    1050.    1120.    1260.    1110.    4290.    7700.   17500.    8790.    2290.    1430.    1110.    49010.
         1984    1580.    1740.    1710.    1680.    1610.    2070.   10480.   20940.    7470.    2230.    1600.    1360.    54470.
         1985    1360.    1480.     740.     770.     760.    1740.   11890.    5450.    1080.     690.     480.     530.    26970.
         1986     820.     790.     830.     880.    3380.   10310.   11880.   11640.    4670.    1700.     950.    1060.    48910.

         MEAN     533.     624.     676.     736.     820.    1963.    7922.    7607.    2267.     645.     443.     394.    24770.

          PCT    2.15%    2.52%    2.73%    2.97%    3.31%    7.92%   31.98%   30.71%    9.15%    2.60%    1.79%    1.59%   100.00%

           SD     320.     280.     244.     262.     501.    1761.    3979.    4798.    2098.     477.     324.     294.    11241.

           CV     0.60     0.45     0.36     0.36     0.61     0.90     0.50     0.63     0.93     0.74     0.73     0.75      0.45

           FILE: .\10084500                                                                      
