

                                    10086500 BEAR R BL UPL CO TAILRACE AT ONEIDA IDAHO        Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1927   59500.   63100.   66500.   68300.   56400.   58500.   61300.   54500.   46700.   52000.   57800.   46400.   691000.
         1928   42200.   37000.   36100.   33200.   31100.   47800.   56000.   40100.   28900.   51100.   62500.   61500.   527500.
         1929   47200.   50600.   49700.   44500.   38500.   42100.   70600.   50200.   31100.   42700.   44700.   38000.   549900.
         1930   48500.   36800.   39900.   35700.   37600.   42200.   42200.   36700.   37400.   62800.   55000.   42700.   517500.
         1931   40900.   38700.   38100.   37400.   32800.   33600.   24700.   25300.   43400.   58700.   58500.   35900.   468000.
         1932   18400.   18200.   18500.   19600.   20400.   22900.   61900.   41400.   18600.   29900.   48500.   29200.   347500.
         1933   23000.   19000.   23200.   21200.   20600.   24000.   49800.   35500.   18100.   50700.   52800.   47400.   385300.
         1934   21800.   21100.   24500.   22900.   19500.   21100.   19200.   42900.   41500.   44500.   48800.   35900.   363700.
         1935   13900.   16500.   19200.   15800.   20600.   25200.   36000.   20000.   17000.   49300.   38500.   25900.   297900.
         1936   15700.   16900.   17000.   17300.   21000.   24600.   90000.   77500.   25600.   38000.   32600.   30000.   406200.
         1937   29100.   28500.   28500.   31100.   27900.   39200.   48400.   59000.   16800.   31600.   37200.   35000.   412300.
         1938   25400.   24300.   29400.   21900.   28100.   39700.   66200.   59100.   23900.   26900.   39300.   31500.   415700.
         1939   39400.   43200.   39600.   28400.   25800.   44000.   42100.   35200.   27600.   48800.   48500.   34800.   457400.
         1940   23000.   20200.   24100.   22200.   24200.   38300.   23000.   30800.   38600.   52400.   46000.   22900.   365700.
         1941   20200.   23500.   22600.   21200.   20800.   35900.   38700.   23900.   28000.   51700.   36900.   27200.   350600.
         1942   27400.   27600.   26800.   30800.   23400.   29900.   51500.   36300.   28600.   41800.   48800.   37800.   410700.
         1943   27010.   27910.   28820.   29620.   27430.   33450.   88680.   45800.   41710.   43920.   44330.   42690.   481370.
         1944   34700.   31840.   35130.   23030.   23610.   30550.   43010.   30870.   24960.   49860.   52500.   33970.   414030.
         1945   19520.   23230.   24380.   21620.   26210.   34890.   47330.   49010.   51800.   41380.   41400.   29730.   410500.
         1946   31800.   29700.   33800.   25300.   25000.   42300.   97700.   53700.   35400.   48500.   58800.   45500.   527500.
         1947   39800.   46170.   48600.   49960.   29980.   44430.   40640.   41190.   35910.   64490.   72880.   63960.   578010.
         1948   57660.   56550.   54890.   41940.   35520.   36130.   65500.   62850.   44020.   62350.   63030.   60490.   640930.
         1949   59540.   50920.   62230.   66900.   54850.   42730.   61140.   37810.   35930.   51290.   64100.   51560.   639000.
         1950   53300.   45100.   48200.   60000.   58000.   54300.  103600.   96900.  108400.  107200.  103100.  102600.   940700.
         1951  103500.   86000.  101900.  100300.   88700.  101700.  104000.   74200.   73000.   85700.   92300.   90500.  1101800.
         1952   75200.   70000.   82000.   91700.   81200.   86200.  109100.  101200.   63700.   72300.   78500.   75400.   986500.
         1953   66490.   54540.   76820.   67780.   61930.   63330.   60620.   51100.   46470.   64950.   53130.   42410.   709570.
         1954   23330.   24960.   27480.   24140.   24280.   37850.   41650.   39350.   41860.   60190.   56920.   40080.   442090.
         1955   23750.   23450.   22470.   22370.   22050.   23570.   47840.   26890.   26190.   67710.   39620.   42970.   388880.
         1956   24180.   31160.   40120.   34880.   26900.   44600.   70650.   54810.   28360.   58530.   55390.   35150.   504730.
         1957   24410.   22620.   29850.   28730.   28360.   44910.   60070.   86260.   41590.   62270.   74570.   51330.   554970.
         1958   48160.   46980.   36780.   42030.   41400.   41560.   75300.   57610.   31090.   61880.   64480.   50100.   597370.
         1959   33080.   30270.   33030.   27320.   27330.   37090.   45140.   23910.   29150.   49500.   45140.   35890.   416850.
         1960   26280.   23660.   23320.   22980.   22420.   43170.   47740.   36150.   54070.   68420.   61150.   27790.   457150.
         1961   19930.   23740.   22730.   19360.   21420.   34020.   25820.   45460.   51090.   63700.   53120.   26730.   407120.
         1962   16730.   18200.   19630.   20510.   55550.   35620.   83290.   45690.   25520.   56460.   46540.   23530.   447270.
         1963   18550.   23080.   22880.   22490.   51330.   28320.   43560.   44900.   33860.   66240.   61310.   27590.   444110.
         1964   19510.   25780.   24650.   24900.   20520.   23540.   66050.   58710.   56150.   54360.   45960.   29590.   449720.
         1965   22110.   25680.   46330.   40520.   34680.   36160.   81910.   73360.   40270.   41640.   79160.   83010.   604830.
         1966   88240.   90190.   93960.   89360.   81000.   71520.   59430.   35520.   54550.   66370.   55250.   24380.   809770.
         1967   18070.   19300.   24480.   25780.   23010.   37740.   55060.   56410.   48090.   67040.   88480.   72680.   536140.
         1968   71660.   72830.   69120.   50880.   32850.   46120.   43150.   23960.   24300.   56330.   35210.   20090.   546500.
         1969   37950.   65890.   66590.   71150.   54170.   81200.   82390.   43700.   26170.   54270.   46800.   23940.   654220.
         1970   25750.   43320.   49150.   49080.   29250.   32520.   33350.   48470.   24990.   48290.   49330.   24290.   457790.
         1971   25200.   31200.   59100.   69600.   66200.   84300.  102900.  134900.  184400.  110100.   89700.   93600.  1051200.
         1972   93800.   87400.   89600.   89900.   85400.  108400.  104000.  137800.  104200.   99600.   86900.   94200.  1181200.
         1973   73460.   84870.   85080.   90150.   78570.   92630.   90230.   69970.   27610.   71690.   44480.   60910.   869650.
         1974   62010.   50810.   71990.   71150.   64050.   93370.   73310.   87200.   76150.   72130.   74040.   64610.   860820.
         1975   36850.   32130.   58820.   66530.   34410.   40790.   55990.   94700.   73670.   66900.   76470.   77180.   714440.
         1976  111700.   99300.   75400.   75100.   67700.   74900.   95100.   84600.   35700.   59600.   44100.   54300.   877500.
