

                                    10090500 BEAR RIVER NEAR PRESTON, IDAHO                   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1945   16800.   24720.   27530.   24040.   29040.   37830.   49640.   57720.   61320.   32740.   36970.   25930.   424280.
         1946   32800.   31700.   36500.   29800.   28300.   47600.  111400.   62700.   35100.   42500.   57200.   43700.   559300.
         1947   42140.   51220.   54520.   56650.   33850.   47360.   43440.   46810.   40870.   58430.   71370.   62130.   608790.
         1948   59020.   59140.   59420.   44940.   37990.   36530.   68200.   73510.   44970.   52880.   54310.   53840.   644750.
         1949   57200.   52020.   65810.   71410.   57280.   48290.   65280.   44490.   29550.   40820.   55320.   43850.   631320.
         1950   51100.   43600.   50300.   64100.   62000.   57200.  112500.  109700.  113300.   98000.   91600.   94000.   947400.
         1951  102200.   93700.  105600.  102500.   92300.  102500.  107400.   84000.   63300.   73300.   82400.   81800.  1091000.
         1952   73600.   69500.   85100.   94700.   79900.   84700.  116400.  108700.   60200.   59800.   67400.   66100.   966100.
         1953   59160.   49730.   75240.   69070.   61390.   63080.   59860.   46320.   44750.   52060.   41700.   32630.   654990.
         1954   19610.   24330.   28700.   25810.   25330.   37540.   40440.   30440.   30990.   48080.   46380.   32330.   389980.
         1955   21010.   22010.   23480.   24760.   24950.   23860.   50070.   26470.   23920.   55970.   31920.   35950.   364370.
         1956   24570.   32260.   44260.   38010.   30990.   47210.   75820.   64650.   24570.   49260.   46310.   28870.   506780.
         1957   23010.   22740.   31300.   29600.   30750.   43900.   60470.   95070.   45960.   51030.   65710.   45390.   544930.
         1958   46410.   48270.   40090.   45970.   44610.   42650.   78730.   62490.   25050.   50290.   54470.   44320.   583350.
         1959   31290.   30020.   35430.   28610.   26930.   36740.   43820.   18750.   19360.   38570.   35870.   30640.   376030.
         1960   28540.   23050.   24360.   25390.   23050.   44440.   48360.   33270.   44940.   57310.   52140.   20750.   425600.
         1961   17660.   22070.   23760.   21270.   21000.   33140.   26110.   40720.   43010.   53760.   45190.   22840.   370530.
         1962   17630.   18680.   21210.   23090.   63140.   35690.   87760.   50720.   23720.   44690.   33810.   16490.   436630.
         1963   16940.   21560.   23070.   23430.   52860.   26940.   40790.   45950.   34280.   53470.   50320.   22570.   412180.
         1964   18440.   25010.   26190.   26970.   23780.   25790.   70420.   68650.   67940.   45580.   38500.   25000.   462270.
         1965   21650.   26660.   51060.   45040.   38860.   37230.   86600.   75020.   49110.   32570.   69090.   76640.   609530.
         1966   88480.   91100.   96340.   92310.   83480.   78940.   64940.   34960.   45370.   55550.   46440.   17270.   795180.
         1967   16880.   19680.   26770.   25630.   21840.   36310.   55690.   66590.   59530.   56030.   75210.   63170.   523330.
         1968   69970.   72720.   71230.   51060.   32820.   44910.   42060.   21270.   25690.   41790.   27580.   15650.   516750.
         1969   36830.   65440.   67380.   76180.   59040.   87340.   92240.   47000.   16740.   40650.   35310.   16990.   641140.
         1970   24260.   40760.   48970.   50640.   28650.   32520.   30930.   44740.   27400.   36970.   38410.   18870.   423120.
         1971   26500.   31000.   57700.   76500.   72100.   92000.  117300.  155500.  210800.  109500.   79100.   85000.  1113000.
         1972   96300.   95100.   97100.   99000.   89300.  117000.  116900.  149400.  107700.   90400.   76900.   88100.  1223200.
         1973   75340.   87010.   87460.   94290.   79180.   84720.   88950.   77360.   22400.   59710.   31460.   50720.   838600.
         1974   51250.   49020.   69920.   76380.   68910.   96300.   77870.   92030.   79060.   62450.   64500.   55630.   843320.
         1975   34900.   31000.   57100.   75300.   36200.   42000.   56900.  104700.   80300.   61500.   69100.   71600.   720600.
         1976  114600.  102300.   81200.   94000.  105300.   88100.  114400.  102400.   35700.   51200.   36500.   47800.   973500.
         1977   52810.   59370.   63410.   70280.   30530.   29600.   23150.   37530.   50320.   52120.   35490.   23020.   527630.
         1978   12480.   17000.   22460.   26980.   28530.   56080.   89740.   92290.   39460.   37000.   35600.   18270.   475890.
         1979   27780.   26990.   31000.   32330.   28200.   41260.   62670.   53660.   19860.   47490.   32940.   22350.   426530.
         1980   29200.   24100.   17300.   36400.   34100.   37000.   77700.  117000.  142500.   65400.   70900.   85400.   737000.
         1981   92650.   76950.   73770.   59630.   27920.   29010.   27340.   25030.   42050.   48340.   53820.   22310.   578820.
         1982   28600.   19800.   17800.   28200.   38200.   49000.   80200.  121500.   71800.   27500.   72700.   95300.   650600.
         1983  109000.  115800.   97200.   94500.   89900.  127400.  122400.  130800.  226800.  185500.  133200.  118100.  1550600.
         1984  165300.  169200.  143100.  113800.  105400.  123100.  177200.  215100.  236400.  124800.  128000.  132500.  1833900.
         1985  149000.  149600.  140500.   97400.   83800.  107900.  177600.   84600.   33000.   60000.   62800.   70200.  1216400.
         1986   68800.   68900.   74100.   73200.  114300.  173000.  192900.  226900.  248700.  147900.  126500.  140500.  1655700.

         MEAN   51231.   52496.   56541.   56171.   51095.   60326.   79347.   77298.   65424.   60784.   58582.   51536.   720831.

          PCT    7.11%    7.28%    7.84%    7.79%    7.09%    8.37%   11.01%   10.72%    9.08%    8.43%    8.13%    7.15%   100.00%

           SD   37269.   36171.   31894.   28477.   27379.   34140.   40189.   47487.   60471.   31116.   25786.   33016.   357697.

           CV     0.73     0.69     0.56     0.51     0.54     0.57     0.51     0.61     0.92     0.51     0.44     0.64      0.50

           FILE: .\10090500                                                                      
