

                                    10091200 DEEP CREEK NEAR CLIFTON, IDAHO                   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1967      45.      79.      91.     122.     159.     640.     865.     747.     754.     455.     138.     102.     4197.
         1968      86.     126.      99.     123.     682.    2656.     992.     473.     354.     162.     201.     135.     6089.
         1969     122.     179.     256.    1097.     873.    2025.    3969.     952.     528.     296.     180.     104.    10581.
         1970      79.      82.     106.     712.    1093.     782.     391.     372.     262.     168.      89.      66.     4202.
         1971      57.     111.     195.     348.    1837.    2527.    2721.    2666.    1099.     358.     169.     180.    12268.
         1972     352.     756.    1267.    1611.    2684.    3812.    2376.    1273.     600.     343.     170.     171.    15415.
         1973     266.     546.     419.     246.     194.    2619.    3479.    1509.     515.     211.     116.     167.    10287.
         1974     197.     460.     740.     314.     446.    4705.    2176.     964.     482.     200.     151.      98.    10933.
         1975      75.     126.     134.     106.     266.    2781.    1908.    1525.     803.     338.     160.     101.     8323.
         1976     191.     315.     546.     399.     345.    1625.    5786.    2150.     724.     165.     117.      73.    12436.
         1977     102.     119.      85.      61.      94.     421.     482.     296.     163.      47.      26.      36.     1932.
         1978      34.      59.      91.     170.     622.    1236.    1866.    1095.     419.     132.      77.      70.     5871.

         MEAN     134.     247.     336.     442.     775.    2152.    2251.    1169.     559.     240.     133.     109.     8545.

          PCT    1.57%    2.88%    3.93%    5.18%    9.07%   25.19%   26.34%   13.68%    6.54%    2.80%    1.55%    1.27%   100.00%

           SD      98.     225.     362.     474.     777.    1299.    1583.     714.     258.     117.      50.      46.     4088.

           CV     0.73     0.91     1.08     1.07     1.00     0.60     0.70     0.61     0.46     0.49     0.38     0.42      0.48

           FILE: .\10091200                                                                      
