

                                    10092700 BEAR RIVER AT IDAHO UTAH STATE LINE              Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1971   38900.   39500.   78200.   99300.   91500.  114200.  141200.  174500.  223300.  117400.   82100.   97700.  1297800.
         1972  108000.  102400.  103700.  106900.   97800.  131300.  127100.  153500.  113100.   85800.   72600.   89900.  1292100.
         1973   74900.   87700.   91900.   95600.   84400.   97000.  100000.   82600.   28000.   62800.   30400.   63500.   898800.
         1974   71100.   58000.   81300.   87100.   80900.  114000.   92400.  103300.   86700.   63900.   65900.   62100.   966700.
         1975   40200.   34100.   69300.   83500.   44300.   52400.   64400.  113100.   89100.   66300.   69900.   77500.   804100.
         1976  121100.  104100.   86800.  101800.  112700.   93900.  120600.  106800.   39700.   46300.   34600.   48900.  1017300.
         1977   59070.   66910.   69220.   73590.   36100.   33920.   28540.   42760.   44390.   50690.   34890.   24450.   564530.
         1978   15900.   21100.   31900.   35100.   36100.   66200.  103900.  105400.   48700.   42800.   43100.   26600.   576800.
         1979   34790.   32680.   36200.   37250.   32630.   54310.   73410.   57900.   23510.   50410.   38060.   26350.   497500.
         1980   32800.   26900.   20300.   50700.   45300.   43500.   83000.  126700.  155100.   63200.   75200.   92200.   814900.
         1981   95500.   78610.   76100.   64030.   40030.   34610.   33540.   44520.   41980.   46810.   50480.   26780.   632990.
         1982   30000.   19500.   19000.   30000.   40300.   56000.   85100.  120500.   72000.   29100.   68700.   94500.   664700.
         1983  128300.  132000.  118600.  113000.  106100.  156000.  144300.  163900.  245700.  211700.  145500.  133900.  1799000.
         1984  175300.  177500.  152000.  117100.  110700.  135500.  198700.  234400.  249500.  154400.  148600.  126500.  1980200.
         1985  132600.  142400.  156900.  108800.   95400.  120700.  206000.   96900.   35100.   58400.   57000.   72500.  1282700.
         1986   72100.   76000.   88200.   79900.  142000.  200600.  213900.  244000.  253600.  156500.  124000.  151400.  1802200.
         1987  137700.  155000.  126800.   91100.   70900.   65400.   41300.   54200.   38000.   44700.   38600.   27600.   891300.
         1988   27970.   24860.   31330.   46470.   36390.   33500.   42880.   21940.   29470.   41610.   38860.   35470.   410750.
         1989   31410.   19530.   28410.   28130.   26790.   52500.   50450.   33620.   19830.   48580.   44860.   30770.   414880.
         1990   18680.   24490.   29560.   34630.   23460.   35170.   28410.   38340.   23820.   51760.   42380.   34330.   385030.
         1991   17390.   22560.   25780.   34630.   23460.   35170.   28410.   38340.   23820.   51760.   42380.   34330.   378030.
         1992   19900.   25490.   30990.   30890.   20910.   21570.   30170.   54060.   53930.   53670.   41020.   24930.   407530.
         1993   15360.   17740.   25080.   30570.   30630.   31980.   23980.   44420.   44700.   31930.   39310.   11430.   347130.
         1994   29500.   22800.   27700.   25300.   19500.   51600.   58300.  114900.   65200.   33600.   28400.   28400.   505200.
         1995   19210.   21730.   25140.   26480.   26480.   44260.   31420.   23640.   37720.   42910.   40990.   26320.   366300.
         1996   24920.   31430.   34020.   29060.   30140.   53370.   42460.   67860.   62500.   24130.   34020.   29100.   463010.
         1997   27630.   33440.   43390.   27570.   33700.   45140.   83860.   91950.   68570.   30360.   32610.   27550.   545770.
         1998  109200.  110400.   85600.   47800.   35900.   88400.  126400.  160000.  144100.   77000.   92500.   99600.  1176900.
         1999   45000.   92500.  105700.   92900.   88100.  117300.  125000.  132100.   94900.   68100.   66500.   65700.  1093800.
         2000   77300.   84900.   73600.   71100.   81400.  108300.   92100.  138300.  114900.   63000.   65600.   72000.  1042500.

         MEAN   61058.   62876.   65757.   63343.   58134.   76260.   87374.   99482.   85698.   65654.   59635.   58744.   844015.

          PCT    7.23%    7.45%    7.79%    7.51%    6.89%    9.04%   10.35%   11.79%   10.15%    7.78%    7.07%    6.96%   100.00%

           SD   45054.   46574.   40318.   32024.   34718.   44304.   54941.   58653.   71969.   42054.   32064.   37714.   460361.

           CV     0.74     0.74     0.61     0.51     0.60     0.58     0.63     0.59     0.84     0.64     0.54     0.64      0.55

           FILE: .\10092700                                                                      
