

                                    10093000 CUB RIVER NEAR PRESTON, IDAHO                    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1940                                                 2070.    4110.   19010.    7070.    2790.    1750.    1380.
         1941    1250.    1080.    1000.     980.     970.    1610.    2750.   17010.    8210.    2970.    1910.    1470.    41210.
         1942    1470.    1330.    1250.    1230.    1100.    1350.    7030.   12650.   15590.    4490.    2430.    1660.    51580.
         1943    1520.    1310.    1290.    1320.    1300.    2070.   11970.   21680.   21250.    7540.    3470.    2070.    76790.
         1944    1880.    1750.    1530.    1320.    1250.    1360.    2790.   16160.   16500.    4870.    2620.    1900.    53930.
         1945    1650.    1410.    1220.    1150.    1040.    1390.    2590.   15540.   20240.    7180.    3000.    2140.    58550.
         1946    1820.    1710.    1600.    1560.    1300.    2520.   11400.   22860.   16630.    5710.    3160.    2140.    72410.
         1947    1930.    1660.    1710.    1350.    1360.    2130.    4210.   24090.   13920.    4960.    2830.    1990.    62140.
         1948    1750.    1510.    1500.    1460.    1180.    1280.    4170.   20110.   21820.    6100.    3380.    2370.    66630.
         1949    1880.    1530.    1430.    1310.    1010.    1880.    5870.   21110.   11290.    4330.    2670.    1940.    56250.
         1950    1790.    1590.    1570.    1630.    1320.    2210.    6170.   17300.   31060.   12410.    4550.    2790.    84390.
         1951    2130.    1800.    1640.    1590.    1610.    1680.    7730.   21830.   17090.    5770.    3130.    2220.    68220.
         1952    1910.    1580.    1340.    1210.    1080.    1160.    5990.   23740.   19170.    5360.    2930.    1920.    67390.
         1956    1520.    1300.    1790.    1840.    1220.    2030.    6780.   22940.   16050.    4480.    2670.    1860.    64480.
         1957    1670.    1390.    1270.    1120.    1170.    1690.    3030.   16130.   25800.    7980.    3220.    2230.    66700.
         1958    1780.    1430.    1360.    1250.    1280.    1590.    3470.   23180.   16120.    4580.    2610.    1920.    60570.
         1959    1650.    1430.    1330.    1180.    1020.    1360.    3150.   11950.   15880.    4380.    2370.    1800.    47500.
         1960    1910.    1620.    1340.    1130.    1020.    1780.    4790.   15950.    9630.    3220.    2040.    1630.    46060.
         1961    1450.    1300.    1160.    1030.     910.    1330.    2240.   12670.    7350.    2690.    1770.    1380.    35280.
         1962    1260.    1180.    1140.    1100.    1970.    1710.    9250.   20780.   14450.    4930.    2640.    2020.    62430.
         1963    1740.    1380.    1260.    1080.    1080.    1330.    2310.   15770.   13130.    4170.    2380.    1730.    47360.
         1964    1460.    1310.    1180.    1100.     990.    1080.    3130.   15560.   23130.    7610.    3050.    2060.    61660.
         1965    1770.    1450.    1700.    1410.    1320.    1480.    4230.   15150.   30530.   10840.    4170.    2640.    76690.
         1966    2110.    1780.    1630.    1440.    1220.    1870.    4600.   15470.    6290.    3070.    2040.    1610.    43130.
         1967    1360.    1180.    1140.    1050.     950.    1530.    2460.   12950.   26130.    8400.    3300.    2190.    62640.
         1968    1730.    1440.    1300.    1160.    1150.    1710.    2160.   10040.   20690.    5340.    2730.    1890.    51340.
         1969    1610.    1340.    1320.    1490.    1190.    1570.    5680.   21500.    9270.    4930.    2590.    1800.    54290.
         1970    1570.    1340.    1220.    1210.    1190.    1380.    1860.   15260.   25410.    6210.    3000.    2140.    61790.
         1971    1830.    1670.    1780.    1770.    1630.    2180.    5620.   21450.   36100.   12720.    4440.    2760.    93950.
         1972    2280.    1740.    1630.    1520.    1310.    3160.    4790.   19720.   26720.    7280.    3370.    2230.    75750.
         1973    1850.    1560.    1430.    1220.    1010.    1340.    2500.   18680.   14210.    4410.    2540.    1840.    52590.
         1974    1650.    1510.    1380.    1340.    1140.    1820.    4650.   22020.   24330.    6450.    3240.    2080.    71610.
         1975    1730.    1400.    1210.    1090.     910.    1430.    1900.    9810.   30850.   17440.    4640.    2630.    75040.
         1976    1940.    1590.    1550.    1330.    1320.    1530.    4160.   22320.   16930.    5490.    2720.    1920.    62800.
         1977    1668.    1319.    1146.    1111.     807.     924.    2586.    4762.    4376.    1751.    1347.    1073.    22870.
         1978    1010.     840.     930.     980.     940.    2570.    6020.   14920.   27570.   10190.    3470.    2130.    71570.
         1979    1760.    1560.    1440.    1110.     890.    1390.    2990.   18320.   12730.    4270.    2280.    1620.    50360.
         1980    1510.    1220.    1040.    1070.    1060.    1340.    6400.   20150.   24450.    6920.    3050.    2050.    70260.
         1981    1700.    1390.    1250.    1110.     880.    1260.    3310.   14620.   12420.    3560.    2360.    1790.    45650.
         1982    1440.    1210.    1260.    1200.    1250.    1990.    4150.   22910.   31930.   12000.    4420.    3020.    86780.
         1983    3190.    2940.    2430.    1870.    1400.    2930.    3650.   14070.   35290.   16180.    4800.    2870.    91620.
         1984    3230.    2920.    2630.    1980.    1610.    1870.    4880.   26550.   35710.   15480.    4310.    2810.   103980.
         1985    2280.    1870.    1630.    1460.    1280.    1690.    6650.   20800.   10660.    3630.    2390.    1880.    56220.
         1986    1620.    1410.    1220.    1100.    2020.    4230.    8450.   18600.   41140.   10120.    4050.    2560.    96520.

         MEAN    1773.    1518.    1423.    1301.    1201.    1768.    4742.   17911.   19662.    6709.    2996.    2049.    63465.

          PCT    2.79%    2.39%    2.24%    2.05%    1.89%    2.79%    7.47%   28.22%   30.98%   10.57%    4.72%    3.23%   100.00%

           SD     410.     377.     326.     249.     264.     602.    2382.    4526.    9129.    3749.     836.     427.    16747.

           CV     0.23     0.25     0.23     0.19     0.22     0.34     0.50     0.25     0.46     0.56     0.28     0.21      0.26

           FILE: .\10093000                                                                      
