

                                    10099000 HIGH CREEK NEAR RICHMOND, UTAH                   Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1947     706.     746.     649.     455.     626.    1112.    2571.    7632.    4637.    1910.     946.     689.    22679.
         1948     619.     629.     633.     586.     342.     491.    2416.    7823.    6385.    2180.    1027.     702.    23833.
         1949     626.     503.     516.     476.     389.     885.    3062.    7468.    4477.    1597.     811.     535.    21345.
         1950     656.     671.     566.     789.     684.    1135.    3043.    7515.    9755.    4266.    1434.     801.    31315.
         1951     638.     610.     600.     462.     674.     687.    3060.    7178.    4469.    1938.    1023.     626.    21965.
         1952     496.     453.     419.     383.     398.     590.    3285.    7652.    5631.    1872.    1010.     639.    22828.
         1972     879.     799.     776.     742.     596.    1821.    2678.    6855.    6918.    2170.     952.     601.    25787.
         1979     666.     526.     516.     492.     340.     781.    1976.    6276.    3731.    1470.     740.     569.    18083.
         1980     520.     408.     341.     534.     450.     571.    2910.    7579.    8196.    2882.    1200.     736.    26327.
         1981     724.     591.     499.     448.     423.     758.    2097.    6260.    5016.    1488.     899.     662.    19865.
         1982     690.     670.     690.     710.     890.    1350.    2620.    9200.   10010.    4460.    1620.    1090.    34000.
         1983    1250.     990.     800.     670.     670.    1390.    2140.    7440.   11220.    4690.    1690.     960.    33910.
         1984    1080.     990.    1120.     850.     790.     980.    2580.   10700.    9650.    4870.    1890.    1070.    36570.
         1985     855.     938.     690.     613.     509.     867.    3580.    5960.    3719.    1624.    1033.     762.    21150.
         1986     670.     650.     600.     630.    1410.    2850.    4290.    8040.   11610.    3670.    1150.     730.    36300.
         1987     801.     726.     561.     430.     410.     660.    1844.    3471.    2108.     936.     560.     459.    12966.
         1988     401.     328.     356.     308.     273.     508.    1715.    2682.    1849.     817.     530.     405.    10172.
         1989     403.     375.     357.     364.     396.    1620.    3247.    4661.    4278.    1656.     827.     557.    18741.

         MEAN     704.     645.     594.     552.     571.    1059.    2729.    6911.    6314.    2472.    1075.     700.    24324.

          PCT    2.90%    2.65%    2.44%    2.27%    2.35%    4.35%   11.22%   28.41%   25.96%   10.16%    4.42%    2.88%   100.00%

           SD     215.     199.     189.     155.     271.     591.     659.    1891.    3064.    1324.     373.     188.     7604.

           CV     0.31     0.31     0.32     0.28     0.47     0.56     0.24     0.27     0.49     0.54     0.35     0.27      0.31

           FILE: .\10099000                                                                      
