

                                    10102250 BEAR RIVER NR SMITHFIELD UTAH                    Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1965   30000.   36400.   69800.   74400.   74800.   48600.  111500.  119400.   90800.   47200.   79700.   92300.   874900.
         1966  100700.  106800.  118400.  110700.  101500.  119300.   94800.   69300.   48900.   55600.   50000.   29900.  1005900.
         1967   25900.   27100.   34500.   36500.   32000.   49700.   80700.  113500.  118600.   62200.   80800.   78400.   739900.
         1968   80390.   81360.   84710.   67040.   46710.   79200.   62970.   41700.   66960.   45270.   46520.   27940.   730770.
         1969   47600.   81800.   86500.  104400.   73600.  115900.  151500.   88000.   38800.   48300.   36300.   29000.   901700.
         1970   35040.   52580.   67800.   73910.   41460.   47540.   47230.   83950.   71340.   44910.   44890.   32430.   643080.
         1971   36100.   43500.   85100.  104900.  101400.  125500.  165200.  217400.  288300.  132400.   89900.  110400.  1500100.
         1972  122800.  119400.  128900.  139100.  119500.  159000.  162200.  202400.  154500.  106400.   86800.  102300.  1603300.
         1973   84000.  102800.  106600.  111000.   99900.  129000.  127000.  122600.   49400.   72000.   40200.   74000.  1118500.
         1974   80000.   64100.   88100.   95100.   84800.  145700.  121100.  144500.  127700.   73400.   76600.   76200.  1177300.
         1975   54200.   43300.   82700.  106300.   60300.   83200.   89700.  167700.  159300.   92700.   85200.   90100.  1114700.
         1976  131900.  121000.   99100.  104100.   98400.  110600.  173800.  175700.   73300.   53600.   50400.   70100.  1262000.
         1977   74860.   76230.   83420.   86680.   50630.   44030.   27850.   53900.   47430.   58050.   43070.   37210.   683360.
         1978   17200.   24700.   31900.   38800.   42500.   83300.  145200.  150900.   84400.   40700.   46500.   31400.   737500.
         1990   23780.   25690.   33110.   42470.   31560.   45400.   38380.   48090.   43440.   63170.   48440.   41390.   484920.
         1991     223.     217.     442.

         MEAN   59043.   62936.   75068.   86360.   70604.   92398.  106609.  119936.   97545.   66393.   60355.   61538.   971862.

          PCT    6.08%    6.48%    7.72%    8.89%    7.26%    9.51%   10.97%   12.34%   10.04%    6.83%    6.21%    6.33%   100.00%

           SD   38755.   37048.   34534.   30219.   29134.   39608.   48238.   55949.   65900.   25872.   19821.   29858.   322581.

           CV     0.66     0.59     0.46     0.35     0.41     0.43     0.45     0.47     0.68     0.39     0.33     0.49      0.33

           FILE: .\10102250                                                                      
