

                                    10102300 SUMMIT CREEK ABV DIVERSIONS NR SMITHFIELD, UTAH  Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1962     258.     298.     279.     237.     908.     627.    2862.    3374.    2422.     988.     564.     533.    13350.
         1963     462.     376.     284.     230.     252.     354.     897.    2789.    1974.     857.     497.     349.     9321.
         1964     314.     360.     272.     230.     205.     263.     970.    4826.    4731.    1535.     676.     444.    14826.
         1965     401.     339.     384.     327.     473.     584.    2384.    4310.    4312.    2128.     962.     641.    17245.
         1966     482.     428.     420.     345.     294.     853.    1902.    2505.    1117.     636.     444.     339.     9765.
         1967     312.     250.     241.     224.     215.     563.     998.    4625.    4433.    1563.     740.     440.    14604.
         1968     385.     314.     284.     242.     323.     743.    1198.    3168.    4124.    1277.     725.     462.    13245.
         1969     407.     374.     374.     474.     396.     624.    2698.    4040.    2007.    1321.     705.     452.    13872.
         1970     401.     318.     287.     314.     385.     540.     941.    4923.    3844.    1396.     733.     470.    14552.
         1971     392.     422.     499.     582.     660.     751.    2396.    5530.    6149.    2069.     948.     646.    21044.
         1972     618.     516.     477.     450.     428.    1658.    2569.    4895.    3576.    1065.     672.     531.    17455.
         1973     417.     341.     287.     290.     270.     451.     993.    4443.    2452.    1125.     664.     477.    12210.
         1974     418.     426.     440.     438.     411.     879.    2049.    5228.    4374.    1309.     712.     476.    17160.
         1975     408.     344.     312.     289.     262.     475.     654.    3489.    7232.    3180.     986.     568.    18199.
         1976     458.     413.     387.     357.     486.     690.    1751.    5455.    2142.    1027.     660.     535.    14361.
         1977     482.     354.     278.     227.     184.     204.     816.    1085.     982.     534.     401.     292.     5839.
         1978     278.     249.     292.     295.     372.    1256.    2483.    4790.    5488.    1595.     801.     599.    18498.
         1979     469.     396.     350.     300.     282.     563.    1638.    4328.    2073.     869.     535.     411.    12214.

         MEAN     409.     362.     342.     325.     378.     671.    1678.    4100.    3524.    1360.     690.     481.    14320.

          PCT    2.86%    2.53%    2.38%    2.27%    2.64%    4.69%   11.72%   28.63%   24.61%    9.49%    4.82%    3.36%   100.00%

           SD      85.      66.      78.     101.     178.     345.     755.    1165.    1748.     625.     166.      99.     3705.

           CV     0.21     0.18     0.23     0.31     0.47     0.51     0.45     0.28     0.50     0.46     0.24     0.20      0.26

           FILE: .\10102300                                                                      
