

                                    10104700 LITTLE BEAR R BL DAVENPORT C NR AVON UT          Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1961    1027.    1123.     988.     912.     968.    1874.    2580.    3721.    1523.     899.     764.     778.    17157.
         1962     880.     950.    1060.     950.    4530.    2430.   10070.    9810.    5760.    2260.    1660.    1380.    41740.
         1963    1351.    1319.    1228.    1337.    1851.    1904.    4259.    7371.    3227.    1494.    1057.    1073.    27471.
         1964    1085.    1265.    1067.    1073.     998.    1150.    6073.    9412.    6004.    2340.    1515.    1184.    33166.
         1965    1234.    1265.    3420.    2053.    1811.    2029.    6847.    9275.    6799.    2676.    1884.    1650.    40943.
         1966    1601.    2132.    1777.    1505.    1236.    4510.    6718.    7327.    2537.    1569.    1359.    1265.    33536.
         1967    1360.    1360.    1520.    1540.    1370.    3540.    5830.   12420.   10080.    3510.    2160.    1770.    46460.
         1968    1783.    1609.    1569.    1519.    1952.    3110.    4727.    7500.    6575.    2501.    2043.    1634.    36522.
         1969    1760.    1660.    1620.    4170.    1900.    3310.   11250.   12830.    5090.    2670.    2040.    1740.    50040.
         1970    1811.    1609.    1605.    2085.    1757.    2346.    3612.    9140.    6254.    2253.    1620.    1432.    35524.
         1971    1540.    2240.    2200.    3560.    2630.    4660.    9840.   12270.    9010.    3810.    2560.    2180.    56500.
         1972    2080.    2080.    2690.    2550.    1980.    7290.    8520.   11800.    6920.    2840.    2210.    1960.    52920.
         1973    2020.    2030.    1830.    1830.    1690.    2490.    7790.   16350.    6800.    2880.    2130.    2040.    49880.
         1974    1910.    1980.    1870.    2020.    1580.    6190.    9130.   14570.    7410.    3040.    2190.    1790.    53680.
         1975    1830.    1770.    1640.    1600.    1410.    2920.    4350.   13360.   12940.    4290.    2390.    2180.    50680.
         1976    2120.    1760.    1870.    1700.    1880.    2960.    7890.   10510.    4370.    2330.    1880.    1580.    40850.
         1977    1537.    1375.    1367.    1325.    1204.    1371.    1864.    3302.    1755.    1101.    1006.     974.    18181.
         1978     904.     918.    1202.    1273.    1682.    5629.    8872.    9784.    6746.    2717.    1859.    1630.    43216.
         1979    1525.    1488.    1261.    1388.    1357.    2940.    6083.    9062.    3656.    1857.    1501.    1260.    33378.
         1980    1440.    1270.    1250.    3440.    2670.    2500.    9260.   12030.    8650.    3470.    2230.    1870.    50080.
         1981    1781.    1690.    1809.    1573.    1539.    2299.    3414.    4988.    2458.    1244.    1014.     968.    24777.
         1982    1270.    1210.    1640.    1570.    2790.    5560.   10440.   13720.    8360.    4090.    2440.    2370.    55460.
         1983    2770.    2410.    2280.    2160.    1800.    6110.    8530.   17790.   16210.    6150.    3750.    2640.    72600.
         1984    3310.    2940.    4020.    3110.    2780.    4070.   11250.   21370.   11920.    5550.    3610.    2920.    76850.
         1985    3300.    3210.    2660.    2450.    2110.    3530.   12180.   10890.    4740.    3150.    2520.    2380.    53120.
         1986    2350.    2480.    2540.    2660.   10760.   10120.   13670.   15980.   13810.    5180.    3580.    2940.    86070.
         1987    2908.    2789.    2287.    2231.    2142.    3400.    5655.    5510.    2700.    1797.    1478.    1311.    34208.
         1988    1460.    1390.    1325.    1369.    1408.    2156.    3366.    4655.    1793.    1111.    1020.     980.    22033.
         1989    1051.    1135.    1127.    1170.    1228.    6063.    6508.    6597.    2811.    1498.    1212.    1087.    31487.
         1990    1226.    1230.    1119.    1313.    1051.    2898.    3219.    3207.    1926.    1077.     873.     781.    19920.
         1991     910.     978.     853.     869.     976.    1918.    2945.    6111.    5453.    1470.    1125.    1057.    24665.
         1992    1222.    1607.    1224.    1144.    1692.    2126.    2469.    1700.     922.     815.     660.     662.    16243.

         MEAN    1699.    1696.    1747.    1858.    2085.    3606.    6850.    9824.    6100.    2614.    1854.    1608.    41542.

          PCT    4.09%    4.08%    4.21%    4.47%    5.02%    8.68%   16.49%   23.65%   14.68%    6.29%    4.46%    3.87%   100.00%

           SD     652.     591.     719.     817.    1734.    1975.    3187.    4619.    3826.    1365.     800.     616.    17188.

           CV     0.38     0.35     0.41     0.44     0.83     0.55     0.47     0.47     0.63     0.52     0.43     0.38      0.41

           FILE: .\10104700                                                                      
