

                                    10104900 EAST FK LT BEAR RIV AB RESV NR AVON UTAH         Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1964     390.     390.     310.     320.     300.     370.    3200.   10020.    3740.    1310.     710.     530.    21590.
         1965     466.     448.     730.     702.    1029.    1065.    8789.    9310.    2922.    1236.     776.     638.    28111.
         1966     561.     645.     561.     527.     492.    1948.    7958.    3667.    1103.     637.     505.     430.    19034.
         1967     390.     380.     400.     390.     440.    1260.    4450.   13510.    4580.    1770.     940.     650.    29160.
         1968     574.     510.     494.     472.     669.    1317.    3870.    9203.    3463.    1146.     774.     595.    23087.
         1969     580.     520.     500.     750.     670.    1180.   11820.    8530.    1850.    1010.     650.     520.    28580.
         1970     540.     470.     470.     560.     630.     820.    2080.   10290.    2410.     970.     660.     530.    20430.
         1971     520.     640.     920.    2280.    1750.    2630.   12800.   15310.    4130.    1630.    1010.     710.    44330.
         1972     740.     610.     610.     650.     660.    4960.   10340.    9950.    2520.    1170.     750.     610.    33570.
         1973     610.     540.     510.     500.     450.     820.    3790.   10890.    2030.     990.     620.     530.    22280.
         1974     490.     520.     480.     570.     630.    2960.    8900.   11720.    2530.    1100.     770.     540.    31210.
         1975     520.     480.     440.     440.     390.     890.    2040.   15510.    6650.    1630.     820.     620.    30430.
         1976     650.     580.     585.     480.     491.    1083.    7204.    7676.    1732.     958.     627.     515.    22581.
         1977     515.     447.     416.     402.     355.     408.     665.    1260.     757.     432.     360.     322.     6339.
         1978     340.     320.     400.     460.     540.    2450.   10680.    9510.    2780.    1130.     770.     610.    29990.
         1979     492.     410.     393.     398.     617.    1484.    5639.    6536.    1462.     746.     585.     459.    19221.
         1980     400.     340.     330.     530.     590.     990.   10200.   12090.    5610.    1750.     950.     650.    34430.
         1981     576.     490.     455.     376.     324.     475.    1980.    2650.    1468.     556.     408.     339.    10097.
         1982     410.     350.     490.     590.     970.    2330.   10470.   16330.    3320.    1540.     790.     570.    38160.
         1983     850.     720.     860.     940.     810.    2550.    6660.   20710.    9250.    2150.    1410.    1050.    47960.
         1984    1120.     950.    1370.    1270.    1100.    1770.    9020.   24230.    7030.    2110.    1340.     970.    52280.
         1985     850.     980.     930.     870.     730.    1750.   12480.    7560.    2060.    1160.     810.     620.    30800.
         1986     620.     590.     610.     640.    3420.    7910.   12040.   11610.    3740.    1490.     940.     720.    44330.

         MEAN     574.     536.     577.     657.     785.    1888.    7264.   10786.    3354.    1244.     782.     597.    29043.

          PCT    1.98%    1.85%    1.99%    2.26%    2.70%    6.50%   25.01%   37.14%   11.55%    4.28%    2.69%    2.06%   100.00%

           SD     179.     171.     244.     414.     656.    1674.    3853.    5318.    2096.     459.     249.     165.    11348.

           CV     0.31     0.32     0.42     0.63     0.84     0.89     0.53     0.49     0.63     0.37     0.32     0.28      0.39

           FILE: .\10104900                                                                      
