

                                USGS  10104950  EAST FORK LITTLE BEAR RIVER NEAR AVON  (ACRE-FEET)      

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1938     750.     725.     700.     754.     730.    2010.    8580.   10290.    3410.    1810.    1230.    1070.    32059.
         1939     676.     694.     686.     676.     587.    2120.    5870.    3610.    1440.     839.     628.     581.    18407.
         1940     643.     554.     567.     555.     541.    1360.    4020.    2620.     952.     653.     505.     515.    13485.
         1941     578.     499.     483.     470.     507.     855.    3300.    4330.    1200.     740.     570.     511.    14043.
         1942     536.     549.     612.     568.     543.     815.    6560.    5640.    2830.    1170.     875.     678.    21376.
         1943     615.     595.     651.     704.     996.    1640.   12290.    6850.    3390.    1520.    1020.     774.    31045.
         1944     772.     736.     668.     635.     587.     720.    3080.    7190.    3280.    1430.     863.     704.    20665.
         1945     664.     666.     666.     685.     669.     946.    3310.    8840.    7580.    2180.    1270.     926.    28402.
         1946     855.     954.    1220.    1280.    1010.    2830.   16980.    7860.    2950.    1530.    1080.     879.    39428.
         1947     948.     871.     885.     744.     722.    1730.    5690.    5720.    2280.    1230.     891.     748.    22459.
         1948     736.     696.     674.     641.     657.     718.    6300.   15430.    3950.    1590.     992.     807.    33191.
         1949     819.     772.     756.     716.     678.    1770.   10680.    8850.    3280.    1530.     996.     813.    31660.
         1950     895.     813.     742.    1050.    1100.    2030.   11440.   14280.    5180.    1940.    1260.     936.    41666.

         MEAN     730.     702.     716.     729.     717.    1503.    7546.    7808.    3209.    1397.     937.     765.    26760.

          PCT    2.73%    2.62%    2.68%    2.72%    2.68%    5.62%   28.20%   29.18%   11.99%    5.22%    3.50%    2.86%   100.00%

           SD     126.     132.     179.     215.     195.     663.    4230.    3822.    1755.     460.     252.     168.     9081.

           CV     0.17     0.19     0.25     0.29     0.27     0.44     0.56     0.49     0.55     0.33     0.27     0.22      0.34

           FILE: .\10104950                                                                      
