

                                USGS  10104955  EAST FORK LITTLE BEAR RIVER AT PORCUPINE RES  (AC-FT)   

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1938     750.     725.     700.     754.     730.    2010.    8580.   10290.    3410.    1810.    1230.    1070.    32059.
         1939     676.     694.     686.     676.     587.    2120.    5870.    3610.    1440.     839.     628.     581.    18407.
         1940     643.     554.     567.     555.     541.    1360.    4020.    2620.     952.     653.     505.     515.    13485.
         1941     578.     499.     483.     470.     507.     855.    3300.    4330.    1200.     740.     570.     511.    14043.
         1942     536.     549.     612.     568.     543.     815.    6560.    5640.    2830.    1170.     875.     678.    21376.
         1943     615.     595.     651.     704.     996.    1640.   12290.    6850.    3390.    1520.    1020.     774.    31045.
         1944     772.     736.     668.     635.     587.     720.    3080.    7190.    3280.    1430.     863.     704.    20665.
         1945     664.     666.     666.     685.     669.     946.    3310.    8840.    7580.    2180.    1270.     926.    28402.
         1946     855.     954.    1220.    1280.    1010.    2830.   16980.    7860.    2950.    1530.    1080.     879.    39428.
         1947     948.     871.     885.     744.     722.    1730.    5690.    5720.    2280.    1230.     891.     748.    22459.
         1948     736.     696.     674.     641.     657.     718.    6300.   15430.    3950.    1590.     992.     807.    33191.
         1949     819.     772.     756.     716.     678.    1770.   10680.    8850.    3280.    1530.     996.     813.    31660.
         1950     895.     813.     742.    1050.    1100.    2030.   11440.   14280.    5180.    1940.    1260.     936.    41666.
         1964     390.     386.     311.     324.     296.     369.    3200.   10020.    3740.    1310.     710.     534.    21590.
         1965     466.     448.     730.     702.    1030.    1070.    8790.    9310.    2920.    1240.     776.     638.    28120.
         1966     561.     645.     561.     527.     492.    1950.    7960.    3670.    1100.     637.     505.     430.    19038.
         1967     393.     376.     404.     393.     441.    1260.    4450.   13510.    4580.    1770.     938.     654.    29169.
         1968     574.     510.     494.     472.     669.    1320.    3870.    9200.    3460.    1150.     774.     595.    23088.
         1969     580.     521.     503.     752.     670.    1180.   11820.    8530.    1850.    1010.     654.     519.    28589.
         1970     542.     475.     474.     563.     632.     819.    2080.   10290.    2410.     972.     661.     529.    20447.
         1971     519.     637.     918.    2280.    1750.    2630.   12800.   15310.    4130.    1630.    1010.     710.    44324.
         1972     738.     607.     607.     652.     661.    4960.   10340.    9950.    2520.    1170.     748.     611.    33564.
         1973     612.     541.     506.     501.     453.     817.    3790.   10890.    2030.     992.     622.     527.    22281.
         1974     492.     519.     484.     567.     635.    2960.    8900.   11720.    2530.    1100.     766.     541.    31214.
         1975     524.     477.     441.     443.     394.     893.    2040.   15510.    6650.    1630.     821.     617.    30440.
         1976     650.     580.     585.     480.     491.    1080.    7200.    7680.    1730.     958.     627.     515.    22576.
         1977     515.     447.     416.     402.     355.     408.     665.    1260.     757.     432.     360.     322.     6339.
         1978     345.     319.     403.     457.     542.    2450.   10680.    9510.    2780.    1130.     768.     606.    29990.
         1979     492.     410.     393.     398.     617.    1480.    5640.    6540.    1460.     746.     585.     459.    19220.
         1980     404.     337.     327.     530.     588.     992.   10210.   12090.    5610.    1750.     946.     649.    34433.
         1981     576.     490.     455.     376.     324.     475.    1980.    2650.    1470.     556.     408.     339.    10099.
         1982     407.     351.     490.     589.     973.    2330.   10470.   16330.    3320.    1540.     789.     576.    38165.
         1983     853.     718.     861.     936.     811.    2549.    6659.   20715.    9251.    2144.    1406.    1045.    47948.

         MEAN     610.     573.     596.     661.     671.    1562.    7020.    9279.    3213.    1274.     820.     647.    26925.

          PCT    2.26%    2.13%    2.21%    2.46%    2.49%    5.80%   26.07%   34.46%   11.93%    4.73%    3.04%    2.40%   100.00%

           SD     157.     158.     192.     352.     281.     953.    3903.    4493.    1920.     455.     253.     182.     9626.

           CV     0.26     0.28     0.32     0.53     0.42     0.61     0.56     0.48     0.60     0.36     0.31     0.28      0.36

           FILE: .\10104955                                                                      
