

                                    10105000 EAST FORK LITTLE BEAR R NR AVON UTAH             Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1939     676.     694.     686.     676.     587.    2120.    5869.    3610.    1442.     839.     628.     581.    18408.
         1940     643.     554.     567.     555.     541.    1357.    4020.    2620.     952.     653.     505.     515.    13482.
         1941     578.     499.     483.     470.     506.     855.    3299.    4334.    1198.     740.     570.     511.    14043.
         1942     536.     549.     612.     568.     543.     815.    6555.    5641.    2830.    1172.     875.     678.    21374.
         1943     610.     600.     650.     700.    1000.    1640.   12290.    6850.    3390.    1520.    1020.     770.    31040.
         1944     772.     736.     668.     635.     587.     720.    3078.    7186.    3283.    1432.     863.     704.    20664.
         1945     664.     666.     666.     685.     669.     946.    3306.    8840.    7581.    2182.    1271.     926.    28402.
         1946     850.     950.    1220.    1280.    1010.    2830.   16980.    7860.    2950.    1530.    1080.     880.    39420.
         1947     948.     871.     885.     744.     722.    1732.    5693.    5718.    2275.    1230.     891.     748.    22457.
         1948     740.     700.     670.     640.     660.     720.    6300.   15430.    3950.    1590.     990.     810.    33200.
         1949     820.     770.     760.     720.     680.    1770.   10680.    8850.    3280.    1530.    1000.     810.    31670.
         1950     890.     810.     740.    1050.    1100.    2030.   11440.   14280.    5180.    1940.    1260.     940.    41660.

         MEAN     727.     700.     717.     727.     717.    1461.    7459.    7602.    3193.    1363.     913.     739.    26318.

          PCT    2.76%    2.66%    2.73%    2.76%    2.72%    5.55%   28.34%   28.88%   12.13%    5.18%    3.47%    2.81%   100.00%

           SD     131.     137.     187.     224.     204.     674.    4407.    3915.    1832.     463.     247.     147.     9337.

           CV     0.18     0.20     0.26     0.31     0.28     0.46     0.59     0.52     0.57     0.34     0.27     0.20      0.35

           FILE: .\10105000                                                                      
