

                                    10106000 LITTLE BEAR RIVER NEAR PARADISE, UTAH            Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1938    2120.    2860.    3080.    3310.    2960.    7670.   18940.   18840.    3830.    1710.    1110.    1060.    67490.
         1939    2080.    2870.    2860.    2650.    2330.    8000.   13990.    5630.    1460.     801.     686.     776.    44133.
         1940    2150.    2120.    2110.    2380.    2580.    5360.    8320.    3650.     781.     522.     405.     579.    30957.
         1941    1530.    2110.    2180.    1950.    2450.    4070.    9320.    8230.    1550.     738.     567.     577.    35272.
         1942    1840.    2130.    2530.    2170.    2190.    3300.   18580.   13730.    3280.     964.     615.     670.    51999.
         1943    1300.    2410.    2710.    3350.    3740.    8310.   23680.   11580.             1340.    1060.     900.
         1944    1700.    2330.    2560.    2770.    2480.    2970.    9720.   14560.    5590.     980.     660.     720.    47040.
         1945    1480.    2330.    2300.    2370.    3430.    4570.   10910.   21170.   14120.    1930.    1450.    1940.    68000.
         1946    3260.    3790.    4690.    4460.    3380.   11010.   30560.   14740.    4130.    1710.    1460.    1840.    85030.
         1947    3110.    4280.    3780.    3390.    3480.    7330.   12410.   10520.    3630.    1320.    1210.    1690.    56150.
         1948    2760.    3270.    3180.    3180.    3380.    4050.   20360.   29370.    6600.    1490.    1210.    1400.    80250.
         1949    2570.    3390.    3350.    3220.    3090.    7100.   22800.   19540.    5220.    1580.    1190.    1330.    74380.
         1950    3260.    3600.    3440.    5560.    5300.    7860.   21720.   27220.   10360.    2570.    1530.    1920.    94340.
         1951    3840.    4610.    5060.    4240.    6210.    6450.   21010.   20910.    4610.    1790.    1790.    1740.    82260.
         1952    3570.    3890.    4120.    3680.    3530.    4500.   29760.   33880.    7340.    2430.    1880.    1670.   100250.
         1953    2660.    3410.    3840.    4050.    3360.    5790.   10320.   10180.    9370.    1600.    1190.     990.    56760.
         1954    1780.    3100.    3200.    3390.    3060.    5180.   11480.    4920.    1610.    1000.     830.     810.    40360.
         1955    1950.    2620.    2340.    2560.    2450.    3660.   13960.   18540.    3860.    1180.     960.    1080.    55160.
         1956    1930.    2850.    9840.    7300.    4540.    9590.   17140.   14170.    3320.    1400.    1060.     960.    74100.
         1957    1840.    3100.    3340.    3120.    5210.    5850.   11720.   21240.    7840.    1650.    1210.    1330.    67450.
         1958    2710.    3070.    3340.    3280.    4410.    6340.   14560.   19840.    3400.    1430.    1090.    1300.    64770.
         1959    1676.    2894.    3328.    3293.    2977.    4754.    9531.    4883.    1581.     904.     807.    1335.    37963.
         1960    2250.    2180.    2310.    2450.    2590.    6420.   12090.    7130.    1550.     930.     810.     830.    41540.
         1961    1424.    2275.    2346.    2414.    2620.    3806.    5722.    1862.    1234.     728.     533.     654.    25618.
         1962    1330.    2350.    2660.    2160.   11360.    6220.   24240.   19620.    6630.    1610.    1350.    1160.    80690.
         1963    1771.    1972.    2122.    2299.    3949.    3241.    5554.    6286.    4620.    2087.    1797.    1956.    37654.
         1964    1940.    2190.    2170.    2030.    1790.    2250.    9140.   15500.    9930.    2410.    2830.    2340.    54520.
         1965    2250.    2830.    5400.    4650.    4020.    3660.   11410.   19760.    6790.    3320.    3290.    3240.    70620.
         1966    2965.    4631.    4054.    3624.    3390.    7293.    9691.    8491.    3074.    2765.    2200.    1898.    54076.
         1967    2250.    2480.    2720.    2570.    2530.    5350.    8920.   26300.   16340.    3600.    3910.    3410.    80380.
         1968    3530.    3500.    3750.    3480.    4250.    5480.    6930.   13830.    8480.    3000.    3630.    3150.    63010.
         1969    3310.    2810.    2860.    7310.    4620.    9060.   19560.   19270.    4640.    3180.    2920.    3020.    82560.
         1970    4170.    3770.    3200.    3960.    3130.    3550.    5490.   15260.    5490.    3100.    3170.    2900.    57190.
         1971    3000.    4270.    4580.    6840.    5190.    9090.   25630.   32480.   12130.    3930.    3800.    4360.   115300.
         1972    5550.    5420.    5820.    6020.    5450.   12850.   21370.   22920.    7270.    3270.    2920.    3390.   102250.
         1973    5260.    5360.    4960.    4920.    4230.    5100.   13990.   23330.    6890.    3890.    2890.    3900.    84720.
         1974    3720.    3620.    3770.    4270.    3500.   11750.   17880.   27150.    6870.    3360.    3020.    2890.    91800.
         1975    3660.    3110.    3150.    3220.    3070.    5470.    7320.   28260.   17510.    3520.    3650.    3910.    85850.
         1976    4330.    3440.    3620.    3500.    3520.    5680.   16540.   13330.    3510.    3180.    2890.    2400.    65940.
         1977    3144.    3053.    3108.    3074.    2452.    2813.    2941.    2442.     998.    1773.    1678.    1147.    28623.
         1978    1910.    2260.    2390.    2380.    3060.    7190.   18410.   23670.    6810.    2840.    2560.    3480.    76960.
         1979    2960.    2900.    2660.    2770.    2760.    5480.    8320.   12450.    3680.    2670.    2430.    2450.    51530.
         1980    2670.    2320.    2350.    5410.    5060.    4320.   13670.   28070.   15170.    3580.    3040.    3610.    89270.
         1981    3318.    3168.    3235.    2874.    2872.    3517.    4346.    3741.    2182.    2102.    1736.    1706.    34797.
         1982    2510.    2150.    2810.    2540.    4850.    9180.   17660.   34430.    9430.    3850.    3270.    4830.    97510.
         1983    6370.    5080.    4990.    5040.    4650.   11030.   14550.   41140.   24020.    7330.    7750.    8310.   140260.
         1984    8600.    6190.    8190.    5860.    7190.   11810.   25140.   49700.   22430.    7560.    6520.    7710.   166900.
         1985    9590.    8470.    5730.    4320.    4180.    7100.   26650.   21430.    5420.    3400.    3170.    4510.   103970.
         1986    4660.    4560.    4300.    4400.   18360.   23640.   30610.   25160.   15030.    5360.    4080.    4760.   144920.

         MEAN    3052.    3335.    3601.    3675.    4106.    6654.   15195.   18171.    6909.    2436.    2159.    2338.    71720.

          PCT    4.26%    4.65%    5.02%    5.12%    5.72%    9.28%   21.19%   25.34%    9.63%    3.40%    3.01%    3.26%   100.00%

           SD    1691.    1243.    1506.    1365.    2604.    3581.    7262.   10390.    5444.    1511.    1493.    1701.    30316.

           CV     0.55     0.37     0.42     0.37     0.63     0.54     0.48     0.57     0.79     0.62     0.69     0.73      0.42

           FILE: .\10106000                                                                      
