

                                    10107000 HYRUM RESERVOIR NR HYRUM UTAH                    E OF M STO

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1938       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.    4100.     4100.
         1939    4290.    6460.    9120.   10310.   10390.   10870.   15280.   14620.   12580.    7780.    4060.    2280.   108040.
         1940    2750.    4530.    6490.    8910.   10260.   14580.   15280.   13810.   10140.    5860.    2510.    1180.    96300.
         1941    1540.    2600.    4600.    6570.    9080.   11090.   15280.   15280.   13540.    9120.    5010.    2080.    95790.
         1942    2780.    4060.    6680.    9000.   10180.   10260.   15280.   15280.   13500.    9460.    5320.    2450.   104250.
         1943    2310.    4230.    6840.   10350.   10390.   11450.   15230.   15280.   15140.   10740.    6800.    4190.   112950.
         1944    4190.    6270.    8830.   10310.   10310.   12800.   15280.   15280.   14860.   10050.    6230.    3580.   117990.
         1945    3140.    4940.    7300.    9840.   10440.   10700.   15280.   15040.   15230.   11450.    8790.    8260.   120410.
         1946   10140.   10440.   10650.   10570.   10740.   12170.   15040.   15280.   13590.   10010.    7070.    6310.   132010.
         1947    8500.   10700.   10570.   10520.   10480.   11900.   15230.   14810.   14720.   10520.    8060.    7150.   133160.
         1948    8830.   10390.   10390.   10520.   10480.   10700.   14670.   15420.   14810.   10260.    7620.    5180.   129270.
         1949    7340.    9960.   10050.   10050.   10570.   10790.   11940.   15280.   13870.   10140.    6460.    4900.   121350.
         1950    7860.   10260.   10310.   10350.   10570.   10570.   15470.   15470.   14900.   11540.    8260.    6840.   132400.
         1951   10160.   10350.   10260.   10260.   10260.   10260.   10920.   15380.   12210.    8580.    6680.    5540.   120860.
         1952    8420.   10350.   10440.   10440.   10440.   10810.   13400.   15390.   13440.   11760.    9080.    7700.   131670.
         1953   10240.   10400.   12300.   15040.   13540.   15760.   15470.   15810.   14200.    9290.    5360.    2960.   140370.
         1954    3740.    6720.    9790.   10440.   10570.   13780.   15280.   13450.   10090.    5760.    2570.    1430.   103620.
         1955    2570.    5180.    7700.   10220.   10310.   12170.   15280.   15470.   13310.    8260.    4940.    3140.   108550.
         1956    4460.    7150.   11450.   10740.   10570.   11490.   15570.   15660.   12350.    8460.    5250.    3670.   116820.
         1957    4600.    7280.   10390.   10440.   11360.   11970.   15290.   15570.   14950.    9710.    5570.    3610.   120740.
         1958       0.       0.    2110.    5360.    9960.   12170.   11490.   15420.   12210.    7740.    4770.    3800.    85030.
         1959    4000.    5860.    9840.   10480.   10650.   12900.   15710.   14670.   10700.    7030.    3740.    3420.   109000.
         1960    4560.    6310.    8630.   10350.   10480.   12940.   15570.   14150.    9080.    4800.    1670.     810.    99350.
         1961    1490.    3670.    6120.    8260.   10830.   14620.   15620.   12260.    8340.    4330.    1300.    1030.    87870.
         1962    2340.    4660.    7420.    8670.   10700.   12990.   13640.   16240.   13270.    8670.    4970.    2190.   105760.
         1963    2810.    4880.    7020.    9160.   12580.   15470.   15760.   15420.   15190.    9960.    6840.    6840.   121930.
         1964    8460.   10390.   12170.   12480.   11670.   12170.   15470.   15620.   15420.   10520.    7820.    6420.   138610.
         1965    7900.   10090.   11630.   10090.   10520.   10570.   15660.   15380.   14900.   11270.   12530.   14150.   144690.
         1966   11580.   10650.   10700.   10650.   10520.   10570.   15570.   15470.   11140.    7620.    4390.    3900.   122760.
         1967    5680.    8260.    9840.   10310.   10310.   11220.   15520.   15570.   15420.   12530.   10180.   10260.   135100.
         1968   10520.   10520.   10480.   10480.   10700.   13590.   13500.   15760.   14860.   10870.    9880.   10140.   141300.
         1969   10140.   10480.   10260.   10440.   10790.   12480.   11050.   15330.   14530.   13590.   10260.    9920.   139270.
         1970   10350.   10520.   10480.   10480.   10520.   10480.   13030.   16030.   14950.   10920.    8750.   10140.   136650.
         1971   10220.   10740.   10520.   10740.   10650.   11630.   11900.   12850.   15000.   12260.    9880.   10220.   136610.
         1972   10260.   10650.   10700.   10700.   10700.   11140.   11580.   13170.   14530.   12170.    9960.   10260.   135820.
         1973   10260.   10390.   10610.   10610.   10570.   10570.   10570.   15950.   15090.   12030.    9200.   10480.   136330.
         1974   10480.   10520.   10520.   10520.   10520.   10520.   11090.   12530.   13080.    9540.    6760.    6190.   122270.
         1975    6230.    9160.   10220.   10220.   10220.   10220.   10310.   10960.   15810.   11360.    9120.    9080.   122910.
         1976    9080.   10260.   10220.   10220.   10220.   10440.   10440.   13920.   12760.    8540.    6910.    7540.   120550.
         1977    7780.   10180.   10180.   10180.   10790.   13220.   15620.   14430.   10310.    5040.    2900.    3580.   114210.
         1978    3960.    5790.    8060.   10140.   10140.   10180.   10480.   16050.   13310.    8300.    5180.    6800.   108390.
         1979    7500.    9770.   10180.   10180.   10180.   10480.   10570.   14010.   12350.    8500.    6310.    5900.   115930.
         1980    5760.    7030.    9620.   10140.   10180.   10310.   10260.   15520.   13820.   11310.    8580.   10090.   122620.

         MEAN    6261.    7745.    9109.    9901.   10357.   11512.   13509.   14518.   13105.    9248.    6454.    5807.   117526.

          PCT    5.33%    6.59%    7.75%    8.42%    8.81%    9.79%   11.49%   12.35%   11.15%    7.87%    5.49%    4.94%   100.00%

           SD    3372.    3072.    2491.    2059.    1751.    2328.    2930.    2536.    2759.    2610.    2741.    3259.    23189.

           CV     0.54     0.40     0.27     0.21     0.17     0.20     0.22     0.17     0.21     0.28     0.42     0.56      0.20

           FILE: .\10107000                                                                      
