

                                    10107500 LITTLE BEAR RIVER NEAR HYRUM, UTAH               Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1943     340.     300.     250.     400.    3570.    8020.   20030.    8790.    3610.     220.     140.     210.    45880.
         1944     490.     390.     130.    1310.    2690.     870.    7050.   14720.    4560.     230.     150.     180.    32770.
         1945     750.     490.     200.     230.    3220.    4660.    5900.   21420.   11900.     260.     210.    1030.    50270.
         1946     200.    3210.    4910.    5540.    3500.    8980.   29180.   11930.    2060.     260.     180.     220.    70170.
         1947     209.    2070.    4231.    3507.    3493.    6032.    9086.    9081.    1876.     217.     128.     142.    40072.
         1948     120.    1310.    3100.    3200.    3570.    4110.   15830.   26820.    3060.     250.     180.     270.    61820.
         1949     280.     220.    3670.    3450.    3320.    7040.   22320.   14200.    3130.     300.     330.     320.    58580.
         1950     260.    1240.    4200.    6920.    5560.    8970.   18290.   24820.    5660.     680.     500.     380.    77480.
         1951     270.    4380.    4940.    4280.    6760.    7510.   21220.   15420.    1850.     210.     530.     480.    67850.
         1952     330.    1560.    4390.    4220.    3880.    4560.   28370.   29190.    2510.     290.     350.     650.    80300.
         1953     290.    2970.    2200.    2120.    4630.    3790.   10250.    8370.    7600.     170.     140.     110.    42640.
         1954      50.      70.     150.    2870.    3420.    2110.   10940.    2200.     140.     100.      70.      70.    22190.
         1955      50.      80.      90.     200.    2610.    1830.   11260.   15460.    2120.      80.      70.      60.    33910.
         1956     110.      80.    5830.    8730.    4920.    8430.   12680.   12070.     850.     120.      90.      60.    53970.
         1957     330.      40.     630.    3370.    5680.    5610.    8940.   21550.    5620.     100.      80.     600.    52550.
         1958    9380.    1880.      90.     100.     130.    4520.   15630.   10930.     440.      70.      80.      50.    43300.
         1959      62.      99.     128.    2844.    3138.    1330.    6721.    2753.      80.      93.     103.      37.    17388.
         1960     270.     120.     130.    1310.    2840.    4020.   10610.    5050.      80.      50.      70.      50.    24600.
         1961      47.      55.     111.     113.     119.     129.    3968.     222.      92.      58.      79.      47.     5040.
         1962      60.      60.      60.     110.    8930.    3430.   24570.   13870.    4440.      90.     180.     130.    55930.
         1963     180.      36.      34.     105.     149.     181.    5546.    4786.     961.     160.     174.      78.    12390.
         1964     120.     150.     180.    1650.    2440.    1610.    6570.   14230.    8340.     210.     220.     110.    35830.
         1965     230.     120.    5560.    5590.    5030.    3910.    6920.   14950.     970.     290.     290.     670.    44530.
         1966    4705.    5101.    4856.    4443.    3870.    4367.    7890.    6282.     209.     125.     173.      42.    42063.
         1967      40.      70.    1170.    2710.    2590.    1450.    8440.   25780.   14770.     270.     160.     230.    57680.
         1968    3126.    3322.    3671.    3412.    3969.    2744.    7061.    8571.    6155.     194.    1479.    1870.    45574.
         1969    3390.    3230.    3190.    7170.    4950.    7690.   20190.   10160.     520.     860.     250.     220.    61820.
         1970    3930.    3960.    3350.    4090.    3250.    1190.    2280.   12660.    2140.     170.     140.     100.    37260.
         1971    2750.    4050.    4890.    6510.    5440.    8740.   25100.   29150.    4900.     250.     260.    3730.    95770.
         1972    5070.    5390.    6120.    6910.    6000.   13100.   20730.   14120.     510.     250.     250.    1730.    80180.
         1973    4510.    4600.    4580.    4590.    4040.    4860.   13730.   17620.    2960.     280.     180.    1580.    63530.
         1974    3953.    3981.    4082.    4407.    3808.

         MEAN    1434.    1707.    2535.    3325.    3797.    4703.   13461.   13780.    3358.     223.     233.     499.    48817.

          PCT    2.94%    3.50%    5.19%    6.81%    7.78%    9.63%   27.57%   28.23%    6.88%    0.46%    0.48%    1.02%   100.00%

           SD    2214.    1839.    2199.    2402.    1824.    3141.    7573.    7824.    3532.     167.     258.     782.    20958.

           CV     1.54     1.08     0.87     0.72     0.48     0.67     0.56     0.57     1.05     0.75     1.10     1.57      0.43

           FILE: .\10107500                                                                      
