

                              USGS 10-79  BLACKSMITH FORK BELOW HARDWARE RANCH                          

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1944    4170.    3950.    3970.    3570.    3090.    3340.    4250.    5560.    4630.    4130.    3880.    3620.    48160.
         1945    3710.    3610.    3460.    3460.    3430.    4040.    4370.    6130.    6770.    4420.    4180.    3600.    51180.
         1946    3670.    3990.    4270.    4270.    3340.    6580.   15420.   11470.    7600.    6700.    6180.    5450.    78940.
         1947    5390.    4930.    4380.    3660.    3730.    5090.    5040.    6760.    5050.    4780.    4570.    4160.    57540.
         1948    4130.    3800.    3660.    3480.    3180.    3800.    8680.   11160.    6820.    5640.    5340.    4710.    64400.
         1949    4630.    4360.    4150.    3830.    3570.    5480.    8720.    8200.    6140.    5770.    5460.    5050.    65360.
         1950    4900.    4460.    4330.    4810.    4170.    5920.   11550.   12680.   10530.    8040.    7450.    6480.    85320.

         MEAN    4371.    4157.    4031.    3869.    3501.    4893.    8290.    8851.    6791.    5640.    5294.    4724.    64414.

          PCT    6.79%    6.45%    6.26%    6.01%    5.44%    7.60%   12.87%   13.74%   10.54%    8.76%    8.22%    7.33%   100.00%

           SD     634.     452.     354.     500.     367.    1198.    4164.    2883.    1948.    1379.    1240.    1042.    13757.

           CV     0.15     0.11     0.09     0.13     0.10     0.24     0.50     0.33     0.29     0.24     0.23     0.22      0.21

           FILE: .\10107900                                                                      
