

                                    10108400 LOGAN HYD PK AND SM CANAL AT HEAD NR LOGAN UTAH  Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1963                                                                   3279.    4251.    3636.    2426.    1599.
         1964     752.     398.     586.     689.     612.     621.     209.    1900.    2089.    5048.    2529.    1662.    17095.
         1965     879.     815.     765.     594.     552.      19.     190.    2791.    4235.    4826.    3487.    1535.    20688.
         1966     780.    1129.     745.     501.     421.     353.     341.    4401.    4518.    2505.    2140.    1678.    19512.
         1967     669.     454.     374.     256.     228.     182.       0.     883.    2848.    4899.    3491.    2448.    16732.
         1968    1135.     603.     363.      40.      18.     180.       5.    2790.    3388.    4457.    2761.    1946.    17686.
         1969    1183.     249.     195.     212.     225.     255.     171.    3971.    3346.    4048.    2791.    1995.    18641.
         1970    1158.     523.     301.     131.      43.      49.      24.    1303.    3578.    5048.    3072.     938.    16168.
         1971     477.     396.     367.     393.     303.     289.     266.    1526.    2799.    4560.    3364.     839.    15579.
         1972     190.     341.     376.     321.     338.     264.     139.    3687.    4362.    5056.    4689.    2136.    21899.
         1973     532.     272.     236.     221.     141.     116.     151.    2475.    4302.    5092.    3080.    1224.    17842.
         1974     948.     492.     405.     342.     271.     249.     334.    3525.    4235.    5546.    4717.    3511.    24575.
         1975     708.     551.     563.     546.     276.      91.      22.     616.    3487.    5419.    4903.    3814.    20996.
         1976     975.      86.      85.      86.     103.     120.      58.    2322.    3844.    4703.    3154.    2815.    18351.
         1977     720.     419.      70.      43.      55.      75.    1188.    1978.    1985.    1420.    1297.    1025.    10275.
         1978     994.     477.     224.     237.     233.      63.      40.    1435.    3697.    4641.    4177.    2398.    18616.
         1979    1537.     372.      36.       0.      14.      60.     137.    2340.    3858.    4225.    2670.    2039.    17288.
         1980    1411.     225.     225.     134.     249.     159.       0.    1942.    3265.    4366.    4112.    2787.    18875.
         1981    2307.     893.      63.     159.     217.     191.     465.    1878.    2731.    2934.    1993.    1851.    15682.
         1982    1003.      98.     336.     405.     308.     185.     101.    1494.    3505.    3995.    3546.    2046.    17022.
         1983     407.      20.      96.     126.      86.      97.      51.     340.    2819.    3564.    2000.    1747.    11353.
         1984     178.       7.      16.      41.      65.      27.       0.     782.    1888.    3334.    3392.    2463.    12193.
         1985     943.     136.      97.      90.      83.      84.      26.    3031.    3779.    4625.    3628.    1547.    18069.
         1986     354.      45.      38.       5.       7.      19.       2.     905.    3685.    3483.    3677.    2043.    14263.
         1987      21.       5.       0.       1.       3.       1.    1145.    2546.    2953.    2370.    2033.    1563.    12641.
         1988    1347.     424.     206.     219.     159.      28.    1009.    2541.    3463.    2517.    1870.    1601.    15384.
         1989    1535.     511.     441.     320.     245.     171.     110.    3043.    3481.    3995.    2759.    2366.    18977.
         1990    1484.     296.     501.     524.     447.     455.    1042.    3427.    3632.    2515.    2136.    1797.    18256.
         1991     947.     402.     250.     215.     354.     146.       2.     673.    3183.    3431.    2612.    1868.    14083.
         1992     910.     286.     293.     520.     470.     220.    1096.    3221.    2325.    1682.    1402.    1256.    13681.
         1993     944.      24.       0.       0.       0.       0.       2.    1331.    1976.    2418.    3049.    2237.    11981.
         1994    1075.      33.       0.       0.       0.       3.     304.    2616.    2922.    2410.    1855.    1402.    12620.
         1995     774.     401.       3.       0.       0.       0.       0.     525.    1325.    2941.    3076.    2577.    11622.

         MEAN     915.     356.     258.     230.     204.     149.     270.    2167.    3265.    3809.    2966.    1962.    16520.

          PCT    5.54%    2.15%    1.56%    1.39%    1.23%    0.90%    1.63%   13.12%   19.77%   23.06%   17.96%   11.88%   100.00%

           SD     464.     267.     217.     203.     173.     141.     381.    1092.     806.    1134.     926.     665.     3385.

           CV     0.51     0.75     0.84     0.88     0.85     0.95     1.41     0.50     0.25     0.30     0.31     0.34      0.20

           FILE: .\10108400                                                                      
