

                                    10108500 LOGAN HYD P AN SM CA N LOGAN UTAH                Acre-Feet 

         YEAR     OCT      NOV      DEC      JAN      FEB      MAR      APR      MAY      JUN      JUL      AUG      SEP       ANN

         1961     587.     326.     596.     590.     479.      91.     432.    4663.    3445.    1581.    1248.     948.    14986.
         1962     521.     393.     499.     453.     391.     243.     545.    2839.    3233.    3741.    2301.    2190.    17349.
         1963     545.     379.     506.     542.     277.      77.      52.    2990.    3786.    3249.    2156.    1416.    15975.
         1964     670.     362.     537.     618.     520.     587.     218.    1599.    1763.    4614.    2428.    1652.    15568.

         MEAN     581.     365.     535.     551.     417.     250.     312.    3023.    3057.    3296.    2033.    1552.    15970.

          PCT    3.64%    2.29%    3.35%    3.45%    2.61%    1.56%    1.95%   18.93%   19.14%   20.64%   12.73%    9.72%   100.00%

           SD      65.      29.      44.      72.     108.     237.     220.    1259.     892.    1275.     535.     517.     1005.

           CV     0.11     0.08     0.08     0.13     0.26     0.95     0.71     0.42     0.29     0.39     0.26     0.33      0.06

           FILE: .\10108500                                                                      
