10128500 WEBER RIVER NEAR OAKLEY, UT                      Acre-Feet                         60     3 MEAN VALUE FOR EACH DAY
        1905 1  491  422  369  338  294  395  737 2308 4809  959  433  351 11906
        1906 1  449  356  279  264  222  302 1084 4673 6820 2597  941  690 18677
        1907 1  460  377  397  406  372  561 2027 4889 9370 9136 1388  633 30016
        1908 1  526  426  456  357  300  321  950 2551 5934 2448  987  549 15805
        1909 2   78   52   43   41   32   36   89  458 1296  405  143   96  2769
        1910 1  701  666  584  523  417 1110 3064 5853 3616  868  497  428 18327
        1911 1  494  406  348  461  472  432 1118 4206 7802 1764  559  389 18451
        1912 1  524  455  461  400  431  422  593 3480 9500 2245 1014  716 20241
        1913 1  814  729  479  430  389  517 1359 5111 4046 1426  750  770 16820
        1914 1  865  641  498  530  448  582 1721 7866 7616 1959  855  544 24125
        1915 1  740  523  461  492  478  505 1339 2699 4653 1194  461  515 14060
        1916 1  506  543  557  400  398  629 1789 4476 7782 1717  763  474 20034
        1917 2   76   57   61   30   33   44   84  333 1030  471   84   55  2358
        1918 1  477  446  406  406  344  484  799 3231 6658  902  461  372 14986
        1919 1  627  381  400  307  313  371  975 4865 2477  601  398  406 12121
        1920 1  562  452  343  346  357  400  541 5910 7911 1676  740  507 19745
        1921 2   65   64   46   43   42   67  132  521 1268  286   98   70  2702
        1922 2   61   53   48   43   37   42   74  586 1065  174   88   53  2324
        1923 1  458  455  443  443  423  514  840 5584 6922 2768  817  560 20227
        1924 1  670  462  382  369  382  459  767 4344 1933  590  384  314 11056
        1925 1  343  342  344  314  304  451 1236 4906 3404 1149  594  558 13945
        1926 1  651  455  419  307  343  492 1584 4731 2753  730  493  331 13289
        1927 1  359  331  339  338  308  360  851 4446 6637 1458  684  513 16624
        1928 1  577  590  416  369  316  511  866 7154 3989 1100  570  379 16837
        1929 1  397  392  369  338  333  391  665 4635 7156 1859  857  647 18039
        1930 1  460  376  369  307  305  430 1489 3208 4223  955  765  491 13378
        1931 1  653  339  307  338  305  306  559 2520 1597  425  267  199  7815
        1932 1  243  283  307  307  316  374  959 5434 7515 1558  598  378 18272
        1933 1  346  314  287  277  250  282  496 1938 7826  970  480  280 13746
        1934 1  281  262  258  264  238  348 1055 1754  482  256  211  196  5605
        1935 1  223  256  277  277  250  307  755 2509 7406 1128  568  335 14291
        1936 1  311  308  307  307  288  338 1653 7560 4055 1266  932  588 17913
        1937 1  425  387  338  307  278  339  885 5684 2445  875  517  369 12849
        1938 1  439  446  369  338  305  372 1371 4349 5328 1117  610  463 15507
        1939 1  474  483  439  369  333  459 1350 3720 1871  701  415  311 10925
        1940 1  344  292  244  234  230  323  809 3908 1375  538  327  305  8929
        1941 1  461  340  320  307  261  342  545 3653 3883  963  630  421 12126
        1942 1  485  461  390  348  311  368 1605 3206 5505 1108  578  403 14768
        1943 1  348  325  315  288  258  355 2080 4270 4608 1378  600  473 15298
        1944 1  452  410  335  298  278  310  492 4496 6290 1611  684  464 16120
        1945 1  420  404  367  353  320  372  506 3384 4173 1530  842  599 13270
        1946 1  449  484  399  365  309  460 2267 4266 3696  942  561  428 14626
        1947 1  446  418  404  338  319  428  939 5358 4400 1403  692  534 15679
        1948 1  463  422  409  394  357  429  910 5359 3718  942  564  318 14285
        1949 1  324  339  344  344  300  383 1459 4401 5480 1332  664  426 15796
        1950 1  508  441  390  357  325  366 1362 4597 7758 2364  833  648 19949
        1951 1  510  507  458  417  396  408 1270 4388 5802 1812  892  522 17382
        1952 1  660  460  393  349  288  344 1547 6916 7308 1910  933  622 21730
        1953 1  535  379  307  318  285  374  762 1871 6528 1340  772  392 13863
        1954 1  349  329  307  313  298  307 1075 3793 1706  832  453  374 10136
        1955 1  315  300  277  277  250  246  502 4069 3375  869  565  390 11435
        1956 1  355  341  445  416  299  456 1487 5564 5427 1027  599  417 16833
        1957 1  376  327  246  257  271  322  529 2986 7869 2543  863  547 17136
        1958 1  450  372  338  310  324  352  624 4825 3548  766  488  352 12749
        1959 1  307  322  320  295  248  327  753 2288 4250  986  466  356 10918
        1960 1  612  448  309  282  246  401 1126 3243 3209  756  364  267 11263
        1961 1  291  298  260  238  230  289  465 2171 1236  426  295  496  6695
        1962 1  504  393  307  277  324  357 1762 3949 6111 1823  660  366 16833
        1963 1  370  300  290  277  307  292  549 3565 4223 1032  522  431 12158
        1964 1  371  346  301  261  201  227  460 4412 5645 1919  731  469 15343
        1965 1  362  344  359  320  303  277  866 4026 7885 3804 1304  922 20772
        1966 1  656  515  463  411  326  472 1492 4818 2487  835  500  409 13384
        1967 1  507  419  373  350  293  391  574 3539 7586 3451  984  530 18997
        1968 1  488  422  387  340  311  381  603 3220 7782 1988  992  680 17594
        1969 1  549  458  422  380  329  379 1531 7350 4220 1560  717  440 18335
        1970 1  425  383  338  354  312  333  444 3769 5710 1494  667  464 14693
        1971 1  412  422  444  490  400  444 1426 3769 7212 1869  756  537 18181
        1972 1  491  465  417  411  367  667 1345 4716 6015 1099  614  451 17058
        1973 1  586  505  462  394  330  356  541 4467 4873 1414  801  666 15395
        1974 1  555  450  331  307  282  547  961 5972 5866 1282  652  411 17616
        1975 1  408  365  344  308  278  332  382 2539 7745 5279  999  596 19575
        1976 1  560  511  455  418  348  414 1035 4498 3461  984  562  369 13615
        1977 1  356  296  259  230  206  221  457 1046 1665  489  347  280  5852
        1978 1  317  224  177  238  215  341 1211 3391 7460 1577  607  438 16196
        1979 1  358  305  326  322  267  325  626 4079 3554  868  539  271 11840
        1980 1  307  277  262  280  250  265 1079 3974 6083 1612  625  418 15432
        1981 1  384  367  356  304  275  327 1137 3134 4367  827  473  354 12305
        1982 1  527  445  384  373  332  434 1040 5448 6786 2953  867  869 20458
        1983 2  124   63   51   44   37   46   66  335 1024  347  159  118  2414
        1984 1  908  659  645  561  456  501 1064 7332 6810 2411 1274  934 23555
        1985 1  732  605  444  412  384  456 2216 5496 4414 1312  796  569 17836
        1986 2   66   62   59   49   47  111  228  643 1048  240   92   70  2715
        1987 1  727  575  457  428  339  410 1293 3327 1735  702  499  362 10854
        1988 1  330  302  308  335  300  293  761 2695 1891  689  588  749  9241
        1989 1  266  296  240  241  224  385 1535 3138 2966  791  646  878 11606
        1990 1  335  341  260  258  229  318  906 2327 4207  946  726  479 11332
        1991 1  286  270  230  246  250  272  468 2917 5223  817  914  642 12535
        1992 1  313  379  318  278  251  324  871 2887  907  462  244  206  7440
        1993 1  208  226  234  240  228  384  908 5722 7426 2971  923  661 20131
        1994 1  559  302  235  308  293  396 1146 3951 2119  753  563  390 11015
