                        10183500 SEVIER RIVER NEAR KINGSTON, UT                                                          PAGE  1

           WATER
           YEAR    OCT     NOV     DEC     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP       ANN

           1914                                                                   8811.  11841.   7041.   4011.          
           1915   8705.   8961.  10701.   9792.  10784.  13472.  17562.  31587.  17895.   2912.   2202.   8152.   142725.
           1916   4990.  10550.  10390.  12210.  13490.  17990.  30160.  32870.  13460.  10230.  19380.   6650.   182370.
           1917  19630.  11580.  11910.   9520.  10050.  13620.  20010.  35290.  29980.   5170.   6660.   5980.   179400.
           1918   5294.  10401.  13069.  11742.  11798.  16750.  13363.  12167.   2610.   7341.   1476.   4683.   110694.
           1919   6097.   8644.  11090.   8858.   9045.  15479.  21021.   8848.   1849.   1025.   2216.   2184.    96356.
           1920   4140.   7470.   5220.   5470.  11060.  11660.  14660.  49550.  29620.   3210.  11100.   5780.   158940.
           1921   7636.  12133.  10179.   9989.  13581.  20287.  12684.  20055.  15642.   7591.  14083.  13833.   157693.
           1922   6800.  10220.  14180.  11150.  11020.  17700.  21220.  70950.  52730.  17070.  14990.  12010.   260040.
           1923   6590.  11580.  12340.  11660.  13240.  13920.  19750.  43050.  21150.   9840.  10290.   7750.   181160.
           1924   8301.  10266.   9715.   8380.  14900.  13315.  17470.   4487.   1323.   1628.   1301.   3195.    94281.
           1925   3475.   6883.   8136.   7722.   9705.  10911.   8144.   2430.   1696.   1708.   1942.   8106.    70858.
           1926   7738.   7333.   8152.   7186.   7412.   9412.  11072.  11133.   1922.   1252.   2144.   1349.    76105.
           1927   2485.   4225.   7166.   7476.   8430.  10038.   8577.   8650.   2241.   1615.   1676.  11219.    73798.
           1928   7228.   8158.   8805.   7993.   9491.  14886.   7275.   7361.   1093.    956.   1797.   1119.    76162.
           1929   2384.   7168.   6764.   5534.   5554.  13010.  10310.  10653.   1563.   3999.   7740.  10641.    85320.
           1930   3519.   6809.   7743.   5756.   7125.   8273.   5693.   3691.   2144.   1313.   7981.   2001.    62048.
